"JUNIORKI MŁODSZE  (120 rzutów, kula Ø160)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
L.p.,Nazwisko i imię,Klub,Eliminacje,,,,Finały,,,,Wynik łączny,,,,,,,,,,,
,,,P,Z,X,Razem,P,Z,X,Razem,P,Z,X,Razem,,,,,,,,
1.,Wiktoria Jądrzyk,KK Dziewiatka-Amica Wronki,345,188,4,533,345,188,4,533,690,376,8,1066,,,,,,,,
2.,Nicoletta Dudziak,KS Polonia 1912 Leszno,361,157,5,518,380,167,4,547,741,324,9,1065,,,,,,,,
3.,Julia Sidło,KS Pilica Tomaszów Mazowiecki,362,191,5,553,341,166,9,507,703,357,14,1060,,,,,, ,,
4.,Julia Grocholska,KK Dziewiatka-Amica Wronki,362,160,10,522,354,184,8,538,716,344,18,1060,,,,,,,,
5.,Katarzyna Mroczkiewicz,KK Dziewiatka-Amica Wronki,365,166,7,531,354,174,6,528,719,340,13,1059,,,,,,,,
6.,Dorota Kwapisz,KS Polonia 1912 Leszno,353,165,5,518,364,169,6,533,717,334,11,1051,,,,,,,,
7.,Joanna Pawłowska,KS Pilica Tomaszów Mazowiecki,383,143,8,526,351,170,3,521,734,313,11,1047,,,,,,,,
8.,Natalia Włodarczyk,KS Polonia 1912 Leszno,364,161,10,525,357,137,5,494,721,298,15,1019,,,,,,,,
9.,Julia Paszyk,KK Dziewiatka-Amica Wronki,359,148,10,507,358,151,15,509,717,299,25,1016,,,,,,,,
10.,Weronika Torka,KS Alfa-Vector Tarnowo Podgórne,353,172,4,525,337,142,9,479,690,314,13,1004,,,,,,,,
11.,Sandra Szczepska,KK Dziewiatka-Amica Wronki,343,162,8,505,,,,0,343,162,8,505,,,,,,,,
12.,Oliwia Wawrzyniak,KS Start Gostyń,342,161,6,503,,,,0,342,161,6,503,,,,,,,,
13.,Karolina Pietrowska,MLKS Tucholanka Tuchola,356,147,13,503,,,,0,356,147,13,503,,,,,,,,
14.,Aleksandra Metlicka,MLKS Tucholanka Tuchola,336,164,10,500,,,,0,336,164,10,500,,,,,,,,
15.,Angelika Wojtaszek,KS Pilica Tomaszów Mazowiecki,347,151,4,498,,,,0,347,151,4,498,,,,,,,,
16.,Julia Brodziszewska,KK Dziewiatka-Amica Wronki,335,162,4,497,,,,0,335,162,4,497,,,,,,,,
17.,Aleksandra Bonk,KS Alfa-Vector Tarnowo Podgórne,338,153,6,491,,,,0,338,153,6,491,,,,,,,,
18.,Jagoda Dziamska,OSiR Tarnowo Podgórne,336,154,12,490,,,,0,336,154,12,490,,,,,,,,
19.,Marta Gołębiewska,KS Zatoka Puck,342,147,12,489,,,,0,342,147,12,489,,,,,,,,
20.,Julia Filipiec,KK Dziewiatka-Amica Wronki,338,147,7,485,,,,0,338,147,7,485,,,,,,,,
21.,Daria Klunder,MLKS Tucholanka Tuchola,342,126,12,468,,,,0,342,126,12,468,,,,,,,,
22.,Anita Szponar,OSiR Tarnowo Podgórne,327,119,16,446,,,,0,327,119,16,446,,,,,,,,
23.,Martyna Remisz,KK Dziewiatka-Amica Wronki,335,99,27,434,,,,0,335,99,27,434,,,,,,,,
24.,Natalia Woźniak,MLKS Tucholanka Tuchola,301,107,20,408,,,,0,301,107,20,408,,,,,,,,
25.,Karolina Woźniak,MLKS Tucholanka Tuchola,292,96,22,388,,,,0,292,96,22,388,,,,,,,,
26.,Alicja Dorsz,MLKS Tucholanka Tuchola,281,90,22,371,,,,0,281,90,22,371,,,,,,,,
