"JUNIORZY MŁODSI (120 rzutów, kula Ø160)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
L.p.,Nazwisko i imię,Klub,Eliminacje,,,,Finały,,,,Wynik łączny,,,,,,,,,,,
,,,P,Z,X,Razem,P,Z,X,Razem,P,Z,X,Razem,,,,,,,,
1.,Patryk Lukaszewski,KS Start Gostyń,351,168,2,519,376,208,3,584,727,376,5,1103,,,,,,,,
2.,Gracjan Machaj,KK Dziewiątka- Amica Wronki,361,179,1,540,377,169,1,546,738,348,2,1086,,,,,,,,
3.,Kacper Michalak,KS Start Gostyń,381,194,3,575,346,164,4,510,727,358,7,1085,,,,,,,,
4.,Jędrzej Michalak,KS Start Gostyń,360,194,2,554,344,186,1,530,704,380,3,1084,,,,,,,,
5.,Mateusz Klecha,KS Polonia 1912 Leszno,361,160,4,521,377,173,4,550,738,333,8,1071,,,,,,,,
6.,Batrosz Ruszczyk,KK Dziewiątka- Amica Wronki,343,182,1,525,356,184,5,540,699,366,6,1065,,,,,,,,
7.,Mateusz Goździk,KS Pilica Tomaszów Mazowiecki,358,166,1,524,360,169,9,529,718,335,10,1053,,,,,,,,
8.,Kamil Palacz,KK Dziewiątka- Amica Wronki,350,182,4,532,356,159,6,515,706,341,10,1047,,,,,,,,
9.,Jędrzej Nowak,KS Start Gostyń,344,178,8,522,344,174,8,518,688,352,16,1040,,,,,,,,
10.,Mateusz Radzi,KK Dziewiątka- Amica Wronki,374,159,8,533,333,143,9,476,707,302,17,1009,,,,,,,,
11.,Kacper Kuchnowski,KS Zatoka Puck,359,158,12,517,,,,0,359,158,12,517,,,,,,,,
12.,Maciej Fot,KK Dziewiątka- Amica Wronki,349,166,9,515,,,,0,349,166,9,515,,,,,,,,
13.,Aleksander Nowacki,MLKS Tucholanka Tuchola,345,167,4,512,,,,0,345,167,4,512,,,,,,,,
14.,Maciej Kozłowski,OSiR Tarnowo Podgórne,348,163,4,511,,,,0,348,163,4,511,,,,,,,,
15.,Tomasz Byliński,OSiR Tarnowo Podgórne,355,155,15,510,,,,0,355,155,15,510,,,,,,,,
16.,Szymon Kosz,KS Pilica Tomaszów Mazowiecki,357,153,11,510,,,,0,357,153,11,510,,,,,,,,
17.,Szymon Kaliski,KS Polonia 1912 Leszno,352,156,7,508,,,,0,352,156,7,508,,,,,,,,
18.,Mateusz Sawala,KK Dziewiątka- Amica Wronki,353,155,7,508,,,,0,353,155,7,508,,,,,,,,
19.,Krzysztof Bacza,KS Polonia Łaziska Górne,335,154,10,489,,,,0,335,154,10,489,,,,,,,,
20.,Dawid Łuczak,MLKS Tucholanka Tuchola,348,128,10,476,,,,0,348,128,10,476,,,,,,,,
21.,Maciej Kaszkowiak,KK Dziewiątka- Amica Wronki,324,148,12,472,,,,0,324,148,12,472,,,,,,,,
22.,Michał Tomaszewski,KS Polonia 1912 Leszno,327,143,12,470,,,,0,327,143,12,470,,,,,,,,
23.,Maciej Olczyk,KK Dziewiątka- Amica Wronki,326,137,9,463,,,,0,326,137,9,463,,,,,,,,
24.,Jędrzej Dmowski,OSiR Tarnowo Podgórne,321,139,13,460,,,,0,321,139,13,460,,,,,,,,
25.,Szymon Banaszak,KS Start Gostyń,321,119,17,440,,,,0,321,119,17,440,,,,,,,,
26.,Dominik Cyniak,KS Pilica Tomaszów Mazowiecki,297,129,14,426,,,,0,297,129,14,426,,,,,,,,
27.,Łukasz Wysiński,MLKS Tucholanka Tuchola,230,59,5,289,,,,0,230,59,5,289,,,,,,,,
28.,Daniel Kreft,KS Zatoka Puck,137,41,1,178,,,,0,137,41,1,178,,,,,,,,
