"MŁODZICZKI  (120 rzutów, kula Ø150)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
L.p.,Nazwisko i imię,Klub,Eliminacje,,,,Finały,,,,Wynik łączny,,,,,,,,,,,
,,,P,Z,X,Razem,P,Z,X,Razem,P,Z,X,Razem,,,,,,,,
1.,Angelika Ciszewska,KS Polonia 1912 Leszno,375,146,10,521,353,149,7,502,728,295,17,1023,,,,,,,,
2.,Angelika Przybysz,KK Dziewiatka-Amica Wronki,351,154,7,505,364,147,6,511,715,301,13,1016,,,,,,,,
3.,Aleksandra Banaszak,KS Start Gostyń,331,140,12,471,329,132,11,461,660,272,23,932,,,,,,,, 
4.,Anna Łochowicz,KS Polonia 1912 Leszno,327,131,10,458,325,147,13,472,652,278,23,930,,,,,,,,
5.,Marta Stachowiak,OSiR Tarnowo Podgórne,322,134,15,456,326,112,18,438,648,246,33,894,,,,,,,,
6.,Maja Wąsala,OSiR Tarnowo Podgórne,318,123,14,441,318,125,16,443,636,248,30,884,,,,,,,,
7.,Nicola Kobiór,KS Polonia Łaziska Górne,296,138,14,434,,,,0,296,138,14,434,,,,,,,,
8.,Weronika Roszak,KK Dziewiatka-Amica Wronki,294,102,17,396,,,,0,294,102,17,396,,,,,,,,
9.,Ewa Benke,MLKS Tucholanka Tuchola,273,120,15,393,,,,0,273,120,15,393,,,,,,,,
10.,Róża Bąk,KS Polonia Łaziska Górne,288,69,33,357,,,,0,288,69,33,357,,,,,,,,
