"MŁODZICY  (120 rzutów, kula Ø150)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
L.p.,Nazwisko i imię,Klub,Eliminacje,,,,Finały,,,,Wynik łączny,,,,,,,,,,,
,,,P,Z,X,Razem,P,Z,X,Razem,P,Z,X,Razem,,,,,,,,
1.,Jakub Kląskała,KK Dziewiątka-Amica Wronki,353,173,6,526,339,176,7,515,692,349,13,1041,,,,,,,,
2.,Filip Łochowicz,KS Polinia 1912 Leszno,336,167,5,503,347,135,14,482,683,302,19,985,,,,,,,,
3.,Jan Klemenski,KK Dziewiątka-Amica Wronki,344,146,13,490,313,174,10,487,657,320,23,977,,,,,,,,
4.,Jerzy Gołębiewski,KS Zatoka Puck,350,128,20,478,347,151,7,498,697,279,27,976,,,,,,,,
5.,Krzysztof Bartkowiak,OSiR Tarnowo Podgórne,344,151,8,495,318,156,7,474,662,307,15,969,,,,,,,,
6.,Aleksander Kulesza,MLKS Tucholanka Tuchola,323,155,11,478,340,135,14,475,663,290,25,953,,,,,,,,
7.,Mikołaj Szczepski,KK Dziewiątka-Amica Wronki,342,138,12,480,334,138,11,472,676,276,23,952,,,,,,,,
8.,Filip Skalski,KS Pilica Tomaszów Mazowiecki,341,167,9,508,339,101,19,440,680,268,28,948,,,,,,,,
9.,Łukasz Bacza,KS Polonia Łaziska Górne,353,142,11,495,330,122,15,452,683,264,26,947,,,,,,,,
10.,Mateusz Grzywaczewski,KK Dziewiątka-Amica Wronki,344,144,9,488,334,109,17,443,678,253,26,931,,,,,,,,
11.,Mateusz Kraczewski,KS Polonia 1912 Leszno,319,158,15,477,,,,0,319,158,15,477,,,,,,,,
12.,Wiktor Piwowarczyk,KS Pilica Tomaszów Mazowiecki,346,130,17,476,,,,0,346,130,17,476,,,,,,,,
13.,Jakub Cwojdziński,KS Alfa-Vector Tarnowo Podgórne,334,135,13,469,,,,0,334,135,13,469,,,,,,,,
14.,Hubert Cypel,KK Dziewiątka-Amica Wronki,342,124,10,466,,,,0,342,124,10,466,,,,,,,,
15.,Bartosz Kozłowski,KK Dziewiątka-Amica Wronki,334,128,14,462,,,,0,334,128,14,462,,,,,,,,
16.,Igor Sowik,KS Pilica Tomaszów Mazowiecki,311,141,13,452,,,,0,311,141,13,452,,,,,,,,
17.,Łukasz Szweda,MLKS Tucholanka Tuchola,321,128,22,449,,,,0,321,128,22,449,,,,,,,,
18.,Dawid Adamski,KS Pilica Tomaszów Mazowiecki,315,125,11,440,,,,0,315,125,11,440,,,,,,,,
19.,Krystian Górniak,KK Dziewiątka-Amica Wronki,315,121,17,436,,,,0,315,121,17,436,,,,,,,,
20.,Miłosz Borowski,KS Pilica Tomaszów Mazowiecki,321,105,20,426,,,,0,321,105,20,426,,,,,,,,
21.,Patryk Rostankowski,MLKS Tucholanka Tuchola,319,102,19,421,,,,0,319,102,19,421,,,,,,,,
22.,Norbert Muzolf,MLKS Tucholanka Tuchola,294,104,19,398,,,,0,294,104,19,398,,,,,,,,
23.,Adrian Łoński,MLKS Tucholanka Tuchola,287,92,26,379,,,,0,287,92,26,379,,,,,,,,
