Eliminacje juniorek młodszych 19-21.11.2015 r.,,,,,,,
,,,,,,,
Lp,Nazwisko ,Imię ,Klub,,,,
,,,,Pełne,Zbier.,X,Razem
1.,Włodarczyk,Natalia,KS Polonia 1912 Leszno,368,199,2,567
2.,Dudziak ,Nicoletta,KS Polonia 1912 Leszno,358,183,4,541
3.,Paszyk,Julia,KK Dziewiątka Wronki,358,181,9,539
4.,Majerová,Kateřina,SKK Primator Nachod,364,170,9,534
5.,Sidło,Julia,KS Pilica Tomaszów Maz.,340,186,5,526
6.,Kwapisz,Dorota,KS Polonia 1912 Leszno,374,148,10,522
7.,Gołębiewska,Marta,KS Zatoka Puck,363,158,8,521
8.,Bonk,Aleksandra,KS Alfa Vector Tarnowo Podg.,338,174,6,512
9.,Brodziszewska,Julia,KK Dziewiątka Wronki,334,175,4,509
10.,Pawłowska,Joanna,KS Pilica Tomaszów Maz.,340,160,10,500
11.,Wojtaszek,Angelika,KS Pilica Tomaszów Maz.,333,166,9,499
12.,Jądrzyk,Wiktoria,KK Dziewiątka Wronki,336,163,3,499
13.,Wawrzyniak ,Oliwia,KS Start Gostyń,341,155,11,496
14.,Pietrowska,Karolina,MLKS Tucholanka Tuchola,346,147,14,493
15.,Kędziora,Weronika,KS Czarna Kula Poznań,334,158,10,492
16.,Filipiec,Julia,KK Dziewiątka Wronki,343,149,7,492
17.,Torka,Weronika,KS Alfa Vector Tarnowo Podg.,344,145,7,489
18.,Gurgul,Karolina,TKKF Sokół Brzesko,354,124,17,478
19.,Woźniak,Karolina,MLKS Tucholanka Tuchola,317,160,8,477
20.,Remisz,Weronika,KK Dziewiątka Wronki,326,143,8,469
21.,Szczepska,Sandra,KK Dziewiątka Wronki,349,120,12,469
22.,Mrowiec,Sandra,OSiR Vector Tarnowo Podg.,336,129,17,465
23.,Grocholska,Julia,KK Dziewiątka Wronki,325,132,11,457
24.,Cebula,Natalia,BOSiR Brzesko,335,122,15,457
25.,Dziamska,Jagoda,OSiR Vector Tarnowo Podg.,338,116,10,454
26.,Klunder,Daria,MLKS Tucholanka Tuchola,316,131,12,447
27.,Metlicka,Aleksandra,MLKS Tucholanka Tuchola,317,122,14,439
28.,Wieczorek,Nicole,UKS Jedynka Świebodzice,333,104,16,437
29.,Serwin,Antonina,TKKF Sokół Brzesko,293,128,20,421
30.,Zawadzka,Wioleta,UKS Jedynka Świebodzice,275,134,17,409
31.,Woźniak,Natalia,MLKS Tucholanka Tuchola,288,119,22,407
32.,Kreft,Agnieszka,TPK Wejherowo,284,118,22,402
33.,Ehrlich,Karolina,TPK Wejherowo,295,104,21,399
34.,Nieborak,Jagoda,UKS Jedynka Świebodzice,272,90,25,362
35.,Dorsz,Alicja,MLKS Tucholanka Tuchola,248,107,27,355
36.,Dziura,Magdalena,UKS Jedynka Świebodzice,248,80,37,328
