XIV Memoriał Józefa Zybera i Jarosława Sobierajskiego,,,,,,,
,,,,,,,
Eliminacje młodziczek 19-21.11.2015 r.,,,,,,,
,,,,,,,
Lp,Nazwisko ,Imię ,Klub,,,,
,,,,Pełne,Zbier.,X,Razem
1.,Mervartová,Helena,SKK Primator Nachod,334,141,14,475
2.,Ciszewska,Angelika,KS Polonia 1912 Leszno,314,158,4,472
3.,Dušková,Michaela,SKK Primator Nachod,309,144,14,453
4.,Łochowicz,Anna,KS Polonia 1912 Leszno,327,124,17,451
5.,Kaluszka,Monika,KS Pilica Tomaszów Maz.,305,140,15,445
6.,Wąsala,Maja,OSiR Vector Tarnowo Podg.,323,119,11,442
7.,Dziamska ,Iwona,OSiR Vector Tarnowo Podg.,319,110,18,429
8.,Slavíková,Lucie,SKK Primator Nachod,304,121,16,425
9.,Dudzik,Marika,KS Polonia 1912 Leszno,297,124,19,421
10.,Banaszak,Aleksandra,KS Start Gostyń,317,104,27,421
11.,Przybysz,Angelika,KK Dziewiątka-Amica Wronki,304,110,16,414
12.,Kobiór,Nicola,KS Polonia Łaziska Górne,304,109,18,413
13.,Batko,Klaudia,TKKF Sokół Brzesko,297,90,22,387
14.,Księżyk,Klaudia,TPK Wejherowo,303,80,24,383
15.,Bąk,Róża,KS Polonia Łaziska Górne,298,78,30,376
16.,Konieczna,Emilia,KK Dziewiątka-Amica Wronki,261,100,19,361
17.,Konieczna,Julia,KK Dziewiątka-Amica Wronki,273,75,29,348
18.,Benke,Ewa,MLKS Tucholanka Tuchola,272,68,34,340
