XVI Turniej Świąteczny Wronki 2015                                                           juniorki młodsze,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
M-ce,Nazwisko i Imię,Klub,ELIMINACJE,,,,FINAŁ,,,
,,,P,ZB,X,Razem,P,ZB,X,Razem
1,Bonk Aleksandra,Alfa Vector Tarnowo Podgórne,370,158,7,528,364,198,2,562
2,Szczepska Sandra,Dziewiątka-Amica Wronki,364,177,2,541,372,184,2,556
3,Jądrzyk Wiktoria,Dziewiątka-Amica Wronki,376,149,7,525,365,167,6,532
4,Mroczkiewicz Katarzyna,Dziewiątka-Amica Wronki,359,167,4,526,362,169,5,531
5,Dudziak Nicoletta,Polonia 1912 Leszno,352,205,2,557,341,164,5,505
6,Torka Weronika,Alfa Vector Tarnowo Podgórne,337,190,5,527,350,151,6,501
7,Klunder Daria,Tucholanka Tuchola,340,184,5,524,349,134,11,483
8,Kwapisz Dorota,Polonia 1912 Leszno,359,164,7,523,,,,
9,Paszyk Julia,Dziewiątka-Amica Wronki,341,168,3,509,,,,
10,Grocholska Julia,Dziewiątka-Amica Wronki,362,142,8,504,,,,
11,Pietrowska Karolina,Tucholanka Tuchola,350,152,9,502,,,,
12,Filipiec Julia,Dziewiątka-Amica Wronki,325,165,4,490,,,,
13,Kedziora Weronika,Czarna Kula Poznań,361,127,16,488,,,,
14,Remisz Martyna,Dziewiątka-Amica Wronki,343,140,12,483,,,,
