XVI Turniej Świąteczny Wronki 2015                                                              juniorzy młodsi,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
M-ce,Nazwisko i Imię,Klub,ELIMINACJE,,,,FINAŁ,,,
,,,P,ZB,X,Razem,P,ZB,X,Razem
1,Machaj Gracjan,Dziewiątka-Amica Wronki,364,186,3,550,371,223,0,594
2,Klecha Mateusz,Polonia 1912 Leszno,379,174,4,553,368,183,1,551
3,Palacz Kamil,Dziewiątka-Amica Wronki,368,181,3,549,382,163,2,545
4,Michalak Jędrzej,Start Gostyń,371,161,4,532,358,185,2,543
5,Radzi Mateusz,Dziewiątka-Amica Wronki,370,168,8,538,351,185,7,536
6,Ruszczyk Bartosz,Dziewiątka-Amica Wronki,382,169,8,551,341,183,3,524
7,Kaliski Szymon,Polonia 1912 Leszno,359,153,9,512,354,162,4,516
8,Nowak Jędrzej,Start Gostyń,361,162,6,523,344,158,11,502
9,Kląskała Mateusz,Dziewiątka-Amica Wronki,364,174,4,538,341,157,4,498
10,Sawala Mateusz,Dziewiątka-Amica Wronki,353,179,3,532,335,156,6,491
11,Nowacki Aleksander,Tucholanka Tuchola,347,158,5,505,,,,
12,Fot Maciej,Dziewiątka-Amica Wronki,357,146,5,503,,,,
13,Wysiński Łukasz,Tucholanka Tuchola,334,163,6,497,,,,
14,Lukaszewski Patryk,Start Gostyń,347,137,5,484,,,,
15,Kaszkowiak Maciej,Dziewiątka-Amica Wronki,340,138,10,478,,,,
16,Tomaszewski Michał,Polonia 1912 Leszno,337,128,9,465,,,,
17,Banaszak Szymon,Start Gostyń,301,124,17,425,,,,
