XVI Turniej Świąteczny Wronki 2015                                                                   młodzicy,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
M-ce,Nazwisko i Imię,Klub,ELIMINACJE,,,,FINAŁ,,,
,,,P,ZB,X,Razem,P,ZB,X,Razem
1,Kląskała Jakub,Dziewiątka-Amica Wronki,332,151,13,483,351,189,8,540
2,Łochowicz Filip,Polonia 1912 Leszno,330,147,5,477,328,175,7,503
3,Cwojdziński Jakub,Alfa Vector Tarnowo Podgórne,360,195,10,555,337,153,8,490
4,Klemenski Jan,Dziewiątka-Amica Wronki,326,168,6,494,348,139,9,487
5,Kraczewski Mateusz,Polonia 1912 Leszno,315,171,10,486,346,139,14,485
6,Piasta Borys,Czarna Kula Poznań,344,155,8,499,339,136,11,475
7,Grzywczewski Mateusz,Dziewiątka-Amica Wronki,340,167,9,507,337,122,4,459
8,Nowicki Dominik,Dziewiątka-Amica Wronki,335,142,16,477,,,,
9,Dykier Dominik,Polonia 1912 Leszno,338,135,15,473,,,,
10,Górniak Krystian,Dziewiątka-Amica Wronki,321,150,6,471,,,,
11,Kozłowski Bartosz,Dziewiątka-Amica Wronki,340,117,15,457,,,,
12,Grzegorski Antoni,Czarna Kula Poznań,323,115,20,438,,,,
13,Szczepski Mikołaj,Dziewiątka-Amica Wronki,326,109,20,435,,,,
