Eliminacje młodzików 20-22.11.2014 r.,,,,,,,
,,,,,,,
Lp,Nazwisko ,Imię ,Klub,,,,
,,,,Pełne,Zbier.,X,Razem
1.,Cwojdziński,Jakub,KS Alfa Vector Tarnowo Podg.,344,167,4,511
2.,Kląskała,Jakub,KK Dziewiątka-Amica Wronki,327,156,9,483
3.,Olczyk,Maciej,KK Dziewiątka-Amica Wronki,336,136,12,472
4.,Szczepski,Mikołaj,KK Dziewiątka-Amica Wronki,346,126,15,472
5.,Hofman,Denis,SKK Primator Nachod,321,149,7,470
6.,Spicner,Jaroslav,SKK Primator Nachod,332,137,17,469
7.,Byliński,Tomasz,OSiR Vector Tarnowo Podg.,317,151,7,468
8.,Kaszkowiak,Maciej,KK Dziewiątka-Amica Wronki,307,151,14,458
9.,Kube,Karol,KS Polonia 1912 Leszno,328,121,13,449
10.,Klemenski,Jan,KK Dziewiątka-Amica Wronki,329,120,16,449
11.,Gołębiewski,Jerzy,KS Zatoka Puck,328,109,14,437
12.,Nowicki,Dominik,KK Dziewiątka-Amica Wronki,321,107,24,428
13.,Dura,Antoni,UKS Kormoram Sieraków,302,124,21,426
14.,Górniak,Krystian,KK Dziewiątka-Amica Wronki,337,88,27,425
15.,Hejna,František,SKK Primator Nachod,302,109,17,411
16.,Bacza,Łukasz,KS Polonia Łaziska Górne,292,109,22,401
17.,Grzona,Bartosz,MLKS Tucholanka Tuchola,301,98,25,399
18.,Grzywaczewski,Mateusz,KK Dziewiątka-Amica Wronki,301,94,25,395
19.,Banaszak ,Szymon,KS Start Gostyń,295,95,22,390
20.,Płóciniczak,Filip,KS Polonia 1912 Leszno,281,108,18,389
21.,Grzeca,Łukasz,MLKS Tucholanka Tuchola,275,85,27,360
22.,Lisowski,Robert,KS Polonia Łaziska Górne,206,74,34,280
