Eliminacje juniorów młodszych 11-12.11.2016 r.,,,,,,,
,,,,,,,
Lp,Nazwisko ,Imię ,m,,,,
,,,,Pełne,Zbier.,X,Razem
1.,Szydłowski,Igor,BOSiR Brzesko,369,208,0,577
2.,Bajer,Lukáš,SKK Primator Nachod,365,184,4,549
3.,Byliński,Tomasz,OSiR Vector Tarnowo Podg.,368,179,5,547
4.,Kosz,Szymon,KS Pilica Tomaszów Maz.,366,178,3,544
5.,Goździk,Mateusz,KS Pilica Tomaszów Maz.,364,177,3,541
6.,Ruszczyk,Bartosz,KK Dziewiątka-Amica Wronki,349,184,3,533
7.,Gromadecki,Mateusz,OSiR Vector Tarnowo Podg.,374,156,8,530
8.,Mrowiec ,Patryk,OSiR Vector Tarnowo Podg.,343,178,6,521
9.,Cwojdziński ,Jakub,OSiR Vector Tarnowo Podg.,359,159,9,518
10.,Lukaszewski,Patryk,KS Start Gostyń,338,178,4,516
11.,Fot,Maciej,KK Dziewiątka-Amica Wronki,333,180,6,513
12.,Klemenski,Jan,KK Dziewiątka-Amica Wronki,332,180,12,512
13.,Sawala,Mateusz,KK Dziewiątka-Amica Wronki,363,149,9,512
14.,Rybiński ,Alan,KS Polonia 1912 Leszno,350,159,5,509
15.,Łazowski,Łukasz,BOSiR Brzesko,368,141,7,509
16.,Machaj,Gracjan,KK Dziewiątka-Amica Wronki,336,167,8,503
17.,Czernecki,Damian,BOSiR Brzesko,335,164,11,499
18.,Radzi,Mateusz,KK Dziewiątka-Amica Wronki,336,162,8,498
19.,Gołębiewski,Jerzy,KS Zatoka Puck,362,136,13,498
20.,Hofman,Denis,SKK Primator Nachod,332,163,8,495
21.,Dmowski,Jędrzej,OSiR Vector Tarnowo Podg.,356,139,8,495
22.,Olczyk,Maciej,KK Dziewiątka-Amica Wronki,316,177,4,493
23.,Nowak,Jędrzej,KS Start Gostyń,356,133,9,489
24.,Gruszczyński,Viktor,KS Polonia 1912 Leszno,325,163,11,488
25.,Banaszak,Szymon,KS Start Gostyń,313,172,4,485
26.,Kulesza,Aleksander,MLKS Tucholanka Tuchola,359,123,17,482
27.,Wysiński,Łukasz,MLKS Tucholanka Tuchola,317,163,9,480
28.,Kuchnowski,Kacper,KS Zatoka Puck,322,158,5,480
29.,Erkier ,Łukasz,KS Polonia Łaziska Górne,322,156,13,478
30.,Kaszkowiak,Maciej,KK Dziewiątka-Amica Wronki,326,145,6,471
31.,Górniak,Krystian,KK Dziewiątka-Amica Wronki,335,133,15,468
32.,Skalski,Filip,KS Pilica Tomaszów Maz.,346,121,13,467
33.,Adamski,Dawid,KS Pilica Tomaszów Maz.,318,136,12,454
34.,Nowicki,Dominik,KK Dziewiątka-Amica Wronki,328,126,15,454
35.,Szczepski,Mikołaj,KK Dziewiątka-Amica Wronki,305,147,9,452
36.,Matecki ,Jakub,KS Polonia 1912 Leszno,307,133,11,440
37.,Milaszewski,Tomasz,KS Polonia 1912 Leszno,321,119,18,440
38.,Muzolf,Norbert,MLKS Tucholanka Tuchola,320,117,17,437
39.,Wolski,Łukasz,KS Zatoka Puck,318,113,21,431
