Finały juniorek młodszych 13.11.2016 r.,,,,,,,,,,,,
,,,,,,,,,,,,
Lp,Nazwisko ,Imię ,Klub,Elim.,Finał,,,,Łącznie,,,
,,,,,Pełne,Zbier.,X,Razem,,,,
1.,Mroczkiewicz,Katarzyna,KK Dziewiątka-Amica Wronki,538,386,146,6,532,1070,,,12
2.,Wojtaszek,Angelika,KS Pilica Tomaszów Maz.,542,355,169,5,524,1066,,,9
3.,Brožková,Nina,SKK Primator Nachod,514,368,176,4,544,1058,,,
4.,Dudziak,Nicoletta,KS Polonia 1912 Leszno,528,343,181,3,524,1052,,,7
5.,Szczepska,Sandra,KK Dziewiątka-Amica Wronki,513,368,162,5,530,1043,,,5
6.,Jądrzyk,Wiktoria,KK Dziewiątka-Amica Wronki,536,344,161,10,505,1041,,,4
7.,Łochowicz,Anna,KS Polonia 1912 Leszno,521,339,153,7,492,1013,,,3
8.,Ciszewska,Angelika,KS Polonia 1912 Leszno,507,328,164,6,492,999,,,2
9.,Mrowiec,Sandra,OSiR Vector Tarnowo Podg.,505,353,138,11,491,996,,,1
