Finały juniorów młodszych 13.11.2016 r.,,,,,,,,,,,,
,,,,,,,,,,,,
Lp,Nazwisko ,Imię ,Klub,Elim.,Finał,,,,Łącznie,,,
,,,,,Pełne,Zbier.,X,Razem,,,,
1.,Kosz,Szymon,KS Pilica Tomaszów Maz.,544,394,201,2,595,1139,,,12
2.,Szydłowski,Igor,BOSiR Brzesko,577,386,158,8,544,1121,,,9
3.,Byliński,Tomasz,OSiR Vector Tarnowo Podg.,547,364,200,12,564,1111,,,7
4.,Goździk,Mateusz,KS Pilica Tomaszów Maz.,541,359,186,3,545,1086,,,5
5.,Lukaszewski,Patryk,KS Start Gostyń,516,346,212,2,558,1074,,,4
6.,Bajer,Lukáš,SKK Primator Nachod,549,331,162,10,493,1042,,,
7.,Ruszczyk,Bartosz,KK Dziewiątka-Amica Wronki,533,346,159,5,505,1038,,,3
8.,Cwojdziński ,Jakub,OSiR Vector Tarnowo Podg.,518,346,152,8,498,1016,,,2
9.,Klemenski,Jan,KK Dziewiątka-Amica Wronki,512,343,160,6,503,1015,,,1
10.,Fot,Maciej,KK Dziewiątka-Amica Wronki,513,332,146,10,478,991,,,
11.,Gromadecki,Mateusz,OSiR Vector Tarnowo Podg.,530,320,140,10,460,990,,,
12.,Mrowiec ,Patryk,OSiR Vector Tarnowo Podg.,521,333,116,12,449,970,,,
