" Indywidualne Mistrzostwa Polski Młodziczek
Tuchola 26-27.11.2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-ce,Nazwisko i Imię,Klub,Tor 1,,,,Tor 2,,,,Tor 3,,,,Tor 4,,,,ELIMINACJE,,,,Tor 1,,,,Tor 2,,,,Tor 3,,,,Tor 4,,,,Finał,,,,RAZEM,,,
,,,P ,Zb,X,S,P ,Zb,X,S,P ,Zb,X,S,P ,Zb,X,S,P,ZB,X,Razem,P ,Zb,X,S,P ,Zb,X,S,P ,Zb,X,S,P ,Zb,X,S,P,ZB,X,Razem,P,ZB,X,Razem
1.,Stachowiak Marta,OSiR Vector Tarnowo Podgórne,92,45,3,137,88,36,4,124,83,35,2,118,93,43,2,136,356,159,11,515,83,27,5,110,81,43,1,124,87,35,3,122,101,50,0,151,352,155,9,507,708,314,20,1022
2.,Kompa Małgorzata,KS Pilica Tomaszów Mazowiecki,88,36,2,124,90,44,1,134,86,43,3,129,86,34,3,120,350,157,9,507,84,35,0,119,91,45,0,136,88,27,4,115,85,45,1,130,348,152,5,500,698,309,14,1007
3.,Wąsala Maja,OSiR Vector Tarnowo Podgórne,95,34,6,129,88,54,1,142,87,35,2,122,92,35,6,127,362,158,15,520,77,26,7,103,72,35,3,107,82,33,2,115,93,39,2,132,324,133,14,457,686,291,29,977
4.,Konieczna Julia,KK Dziewiątka-Amica Wronki,79,49,1,128,85,27,6,112,90,35,2,125,91,43,1,134,345,154,10,499,80,24,5,104,79,36,3,115,79,25,3,104,74,33,0,107,312,118,11,430,657,272,21,929
5.,Roszak Weronika,KK Dziewiątka-Amica Wronki,86,23,6,109,83,35,3,118,82,45,4,127,85,26,7,111,336,129,20,465,75,35,5,110,70,44,0,114,79,35,5,114,84,27,6,111,308,141,16,449,644,270,36,914
6.,Bucholc Dominika,MLKS Tucholanka Tuchola,74,24,6,98,79,27,5,106,83,34,4,117,90,36,1,126,326,121,16,447,68,34,2,102,77,44,2,121,76,51,0,127,72,43,2,115,293,172,6,465,619,293,22,912
7.,Banaszak Aleksandra,KS Start Gostyń,68,35,2,103,91,23,5,114,77,34,4,111,76,35,1,111,312,127,12,439,84,36,1,120,81,26,4,107,94,31,3,125,76,43,3,119,335,136,11,471,647,263,23,910
8.,Zdulska Daria,KS Pilica Tomaszów Mazowiecki,74,26,4,100,72,27,7,99,85,52,0,137,82,35,4,117,313,140,15,453,66,35,3,101,68,26,8,94,83,45,1,128,82,41,1,123,299,147,13,446,612,287,28,899
9.,Dudzik Marika,KS Polonia 1912 Leszno,77,34,3,111,78,42,4,120,73,32,4,105,77,45,4,122,305,153,15,458,79,35,4,114,74,26,4,100,82,35,3,117,71,35,3,106,306,131,14,437,611,284,29,895
