" Indywidualne Mistrzostwa Polski Młodzików
Tuchola 26-27.11.2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-ce,Nazwisko i Imię,Klub,Tor 1,,,,Tor 2,,,,Tor 3,,,,Tor 4,,,,ELIMINACJE,,,,Tor 1,,,,Tor 2,,,,Tor 3,,,,Tor 4,,,,Finał,,,,RAZEM,,,
,,,P ,Zb,X,S,P ,Zb,X,S,P ,Zb,X,S,P ,Zb,X,S,P,ZB,X,Razem,P ,Zb,X,S,P ,Zb,X,S,P ,Zb,X,S,P ,Zb,X,S,P,ZB,X,Razem,P,ZB,X,Razem
1.,Kuryło Jakub,BOSiR Brzesko,98,35,0,133,93,50,0,143,92,33,0,125,87,42,0,129,370,160,0,530,82,52,1,134,89,43,0,132,93,45,1,138,81,53,2,134,345,193,4,538,715,353,4,1068
2.,Wilk Tobiasz,KK Dziewiątka-Amica Wronki,81,26,4,107,93,43,0,87,87,34,3,121,102,49,2,151,363,152,9,515,88,44,0,132,84,45,0,129,81,35,1,116,81,53,0,134,334,177,1,511,697,329,10,1026
3.,Bartkowiak Krzysztof,OSiR Vector Tarnowo Podgórne,84,27,4,111,80,27,4,107,87,45,0,132,86,41,3,127,337,140,11,477,81,53,1,134,92,35,2,127,92,52,0,144,88,26,6,114,353,166,9,519,690,306,20,996
4.,Piasta Borys,KS Czarna Kula Poznań,80,35,3,115,89,33,5,122,87,33,4,120,87,36,2,123,343,137,14,480,84,35,4,119,71,45,3,116,92,27,5,119,81,51,1,132,328,158,13,486,671,295,27,966
5.,Łochowcz Filip,KS Polonia 1912 Leszno,78,27,3,105,80,53,3,133,89,29,2,118,85,26,4,111,332,135,12,467,90,43,1,133,95,35,3,130,89,31,2,120,76,36,1,112,350,145,7,495,682,280,19,962
6.,Kraczewski Mateusz,KS Polonia 1912 Leszno,86,35,2,121,80,35,1,115,86,53,1,139,81,33,3,114,333,156,7,489,80,27,2,107,85,33,3,118,91,42,1,133,80,25,6,105,336,127,12,463,669,283,19,952
7.,Sowik Igor,KS Pilica Tomaszów Mazowiecki,87,44,1,131,70,26,6,96,86,35,3,121,94,45,1,139,337,150,11,487,91,26,4,117,84,27,2,111,96,36,4,132,82,23,3,105,353,112,13,465,690,262,24,952
8.,Grzywaczewski Mateusz,KK Dziewiątka-Amica Wronki,86,36,2,122,82,42,1,124,91,33,4,124,73,25,4,98,332,136,11,468,70,41,2,111,94,36,3,130,98,32,2,130,75,27,2,102,337,136,9,473,669,272,20,941
9.,Byliński Marcin,OSiR Vector Tarnowo Podgórne,75,33,4,108,80,35,2,115,93,27,4,120,90,52,2,142,338,147,12,485,80,27,4,107,95,34,1,129,81,34,3,115,82,18,4,100,338,113,12,451,676,260,24,936
