PUCHAR STAROSTY,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,JUNIORZY MŁODSI,,,,,,,,,,,,,,
,,,,ELIMINACJE,,,,FINAŁ,,,,RAZEM,,,
Lp.,NAZWISKO,IMIĘ,KLUB,PEŁNE,ZBIERANE,X,SUMA,PEŁNE,ZBIERANE,X,SUMA,PEŁNE,ZBIERANE,X,SUMA
1,Dmowski,Jędrzej,OSiR Vector Tarnowo Podgórne,361,177,6,538,405,177,5,582,766,354,11,1120
2,Cwojdziński,Jakub,OSiR Vector Tarnowo Podgórne,365,219,2,584,367,166,4,533,732,385,6,1117
3,Kaszkowiak,Maciej,Dziewiątka-Amica Wronki,349,199,4,548,366,158,6,524,715,357,10,1072
4,Ruszczyk,Bartosz,Dziewiątka-Amica Wronki,351,196,2,547,345,151,12,496,696,347,14,1043
5,Machaj,Gracjan,Dziewiątka-Amica Wronki,349,159,1,508,364,168,4,532,713,327,5,1040
6,Sawala,Mateusz,Dziewiątka-Amica Wronki,329,182,4,511,357,171,5,528,686,353,9,1039
7,Byliński,Tomasz,OSiR Vector Tarnowo Podgórne,344,174,5,518,332,166,7,498,676,340,12,1016
8,Nowak,Wiktor,Wrzos Sieraków,331,178,6,509,349,134,12,483,680,312,18,992
9,Radzi,Mateusz,Dziewiątka-Amica Wronki,356,141,6,497,,,,,,,,
10,Klemeński,Jan,Dziewiątka-Amica Wronki,365,131,13,496,,,,,,,,
11,Olczyk,Maciej,Dziewiątka-Amica Wronki,353,137,6,490,,,,,,,,
12,Fot,Maciej,Dziewiątka-Amica Wronki,337,148,10,485,,,,,,,,
13,Nowicki,Dominik,Dziewiątka-Amica Wronki,305,151,12,456,,,,,,,,
14,Szczepski,Mikołaj,Dziewiątka-Amica Wronki,302,142,13,444,,,,,,,,
15,Czekała,Tomasz,Wrzos Sieraków,334,93,29,427,,,,,,,,
