PUCHAR STAROSTY,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,MŁODZICZKI,,,,,,,,,,,,,,
,,,,ELIMINACJE,,,,FINAŁ,,,,RAZEM,,,
Lp.,NAZWISKO,IMIĘ,KLUB,PEŁNE,ZBIERANE,X,SUMA,PEŁNE,ZBIERANE,X,SUMA,PEŁNE,ZBIERANE,X,SUMA
1,Roszak,Weronika,Dziewiątka-Amica Wronki,335,174,10,509,342,154,9,496,677,328,19,1005
2,Wąsala,Maja,OSiR Vector Tarnowo Podgórne,341,130,15,471,350,158,11,508,691,288,26,979
3,Stachowiak,Marta,OSiR Vector Tarnowo Podgórne,324,162,6,486,339,153,9,492,663,315,15,978
4,Konieczna,Julia,Dziewiątka-Amica Wronki,339,154,11,493,344,140,9,484,683,294,20,977
5,Fojud,Aleksandra,Dziewiątka-Amica Wronki,314,148,11,462,,,,,,,,
6,Konieczna,Emilia,Dziewiątka-Amica Wronki,317,137,12,454,,,,,,,,
7,Kucz,Zuzanna,OSiR Vector Tarnowo Podgórne,305,137,16,442,,,,,,,,
