PUCHAR STAROSTY,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,MŁODZICY,,,,,,,,,,,,,,
,,,,ELIMINACJE,,,,FINAŁ,,,,RAZEM,,,
Lp.,NAZWISKO,IMIĘ,KLUB,PEŁNE,ZBIERANE,X,SUMA,PEŁNE,ZBIERANE,X,SUMA,PEŁNE,ZBIERANE,X,SUMA
1,Bartkowiak,Krzysztof,OSiR Vector Tarnowo Podgórne,339,203,4,542,343,179,8,522,682,382,12,1064
2,Wilk,Tobiasz,Dziewiątka-Amica Wronki,343,159,6,502,379,167,4,546,722,326,10,1048
3,Grzywaczewski,Mateusz,Dziewiątka-Amica Wronki,351,160,11,511,342,180,6,522,693,340,17,1033
4,Prętki,Kevin,Dziewiątka-Amica Wronki,336,152,11,488,349,171,10,520,685,323,21,1008
5,Izydorek,Daniel,Czarna Kula Poznań,323,163,10,486,345,168,8,513,668,331,18,999
6,Przewoźny,Krzysztof,Dziewiątka-Amica Wronki,354,147,7,501,343,150,10,493,697,297,17,994
7,Fraś,Marcin,Dziewiątka-Amica Wronki,334,150,12,484,347,136,13,483,681,286,25,967
8,Byliński,Marcin,OSiR Vector Tarnowo Podgórne,334,147,18,481,308,138,10,446,642,285,28,927
9,Anklam,Wojciech,Dziewiątka-Amica Wronki,342,137,12,479,,,,,,,,
10,Piasta,Borys,Czarna Kula Poznań,332,146,13,478,,,,,,,,
11,Kozłowski,Bartosz,Dziewiątka-Amica Wronki,325,152,12,477,,,,,,,,
12,Dziamski,Artur,OSiR Vector Tarnowo Podgórne,364,108,15,472,,,,,,,,
13,Bryćko,Klaudiusz,Dziewiątka-Amica Wronki,319,146,15,465,,,,,,,,
14,Pape,Daniel,Wrzos Sieraków,316,148,13,464,,,,,,,,
15,Kmieciak,Maksymilian,Wrzos Sieraków,326,122,9,448,,,,,,,,
16,Molik,Jakub,Wrzos Sieraków,312,126,16,438,,,,,,,,
17,Sawala,Maciej,Dziewiątka-Amica Wronki,316,119,17,435,,,,,,,,
18,Molik,Mateusz,Wrzos Sieraków,322,104,19,426,,,,,,,,
19,Dorożała,Kacper,Wrzos Sieraków,251,111,25,362,,,,,,,,
