" Indywidualne Mistrzostwa Polski Młodziczek                                                                                                                                                      Leszno, 04 - 06.12.2015",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MŁODZICZKI,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
M-ce,Nazwisko i Imię,Klub,ELIMINACJE,,,,Tor 1,,Tor 2,,Tor 3,,Tor 4,,,FINAŁ,,,,RAZEM,,,,
,,,P ,ZB,X,Razem,P,Z,P,Z,P,Z,P,Z,X,P ,ZB,X,Razem,P ,ZB,X,Razem,
1,Ciszewska Angelika,KS Polonia 1912 Leszno,353,173,7,526,,,,,,,,,,345,157,5,502,698,330,12,1028,8 pkt
2,Łochowicz Anna,KS Polonia 1912 Leszno,334,158,8,492,,,,,,,,,,322,184,11,506,656,342,19,998,6 pkt
3,Przybysz Angelika,KK Dziewiątka-Amica Wronki,347,127,13,474,,,,,,,,,,333,121,18,454,680,248,31,928,4 pkt
4,Stachowiak Marta,OSIR Vector Tarnowo Podgórne,351,90,27,441,,,,,,,,,,311,134,9,445,662,224,36,886,3 pkt
5,Kaluszka Monika,KS Pilica Tomaszów Mazowiecki,302,111,17,413,,,,,,,,,,320,133,13,453,622,244,30,866,2 pkt
6,Dudzik Marika,KS Polonia 1912 Leszno,303,111,18,414,,,,,,,,,,320,121,17,441,623,232,35,855,1 pkt
7,Banaszak Aleksandra,KS Start Gostyń,322,124,16,446,,,,,,,,,,309,99,18,408,631,223,34,854,
8,Roszak Weronika,KK Dziewiątka-Amica Wronki,307,111,23,418,,,,,,,,,,317,89,27,406,624,200,50,824,
9,Wąsala Maja,OSIR Vector Tarnowo Podgórne,290,116,21,406,,,,,,,,,,314,94,25,408,604,210,46,814,
10,Piasecka Daria,UKS Jedynka Świebodzice,297,111,22,408,,,,,,,,,,0,0,0,0,297,111,22,408,
11,Księżyk Klaudia,TPK Wejherowo,295,109,22,404,,,,,,,,,,,,,,,,,,
12,Konieczna Emilia,KK Dziewiątka-Amica Wronki,318,83,29,401,,,,,,,,,,,,,,,,,,
13,Benke Ewa,MLKS Tucholanka Tuchola,288,111,18,399,,,,,,,,,,,,,,,,,,
14,Konieczna Julia,KK Dziewiątka-Amica Wronki,293,96,21,389,,,,,,,,,,,,,,,,,,
15,Przybyła Nikola,KS Pilica Tomaszów Mazowiecki,281,100,25,381,,,,,,,,,,,,,,,,,,
16,Dziamska Iwona,OSIR Vector Tarnowo Podgórne,282,82,29,364,,,,,,,,,,,,,,,,,,
17,Sygitowicz Oliwia,KS Pilica Tomaszów Mazowiecki,255,74,32,329,,,,,,,,,,,,,,,,,,
18,Partyka Wiktoria,UKS Jedynka Świebodzice,178,68,50,246,,,,,,,,,,,,,,,,,,
19,,,,,,0,,,,,,,,,,,,,,,,,,
20,,,,,,0,,,,,,,,,,,,,,,,,,
21,,,,,,0,,,,,,,,,,,,,,,,,,
