" Indywidualne Mistrzostwa Polski Młodzików                                                                                                                                                       Leszno, 04 - 06.12.2015",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MŁODZICY,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
M-ce,Nazwisko i Imię,Klub,ELIMINACJE,,,,Tor 1,,Tor 2,,Tor 3,,Tor 4,,,FINAŁ,,,,RAZEM,,,,
,,,P ,ZB,X,Razem,P,Z,P,Z,P,Z,P,Z,X,P ,ZB,X,Razem,P ,ZB,X,Razem,
1,Cwojdziński Jakub,KS Alfa-Vector Tarnowo Podgórne,354,150,8,504,,,,,,,,,,336,219,0,555,690,369,8,1059,8 pkt
2,Kląskała Jakub,KK Dziewiątka-Amica Wronki,328,169,9,497,,,,,,,,,,376,169,6,545,704,338,15,1042,6 pkt
3,Bartkowiak Krzysztof,OSIR Vector Tarnowo Podgórne,365,180,4,545,,,,,,,,,,355,137,13,492,720,317,17,1037,4 pkt
4,Kuryło Jakub,BOSiR Brzesko,362,143,12,505,,,,,,,,,,358,167,5,525,720,310,17,1030,3 pkt
5,Kube Karol,KS Polonia 1912 Leszno,327,207,8,534,,,,,,,,,,327,139,12,466,654,346,20,1000,2 pkt
6,Górniak Krystian,KK Dziewiątka-Amica Wronki,335,140,13,475,,,,,,,,,,351,157,13,508,686,297,26,983,1 pkt
7,Borowski Miłosz,KS Pilica Tomaszów Mazowiecki,338,157,15,495,,,,,,,,,,356,129,15,485,694,286,30,980,
8,Kozłowski Bartosz,KK Dziewiątka-Amica Wronki,338,159,11,497,,,,,,,,,,318,161,10,479,656,320,21,976,
9,Klemenski Jan ,KK Dziewiątka-Amica Wronki,331,156,8,487,,,,,,,,,,317,168,8,485,648,324,16,972,
10,Kraczewski Mateusz,KS Polonia 1912 Leszno,322,145,10,467,,,,,,,,,,340,163,9,503,662,308,19,970,
11,Grzywaczewski Mateusz,KK Dziewiątka-Amica Wronki,344,146,13,490,,,,,,,,,,339,140,17,479,683,286,30,969,
12,Gołębiewski Jerzy,KS Zatoka Puck,326,141,12,467,,,,,,,,,,329,158,11,487,655,299,23,954,
13,Łochowicz Filip,KS Polonia 1912 Leszno,324,139,14,463,,,,,,,,,,342,148,12,490,666,287,26,953,
14,Piasta Borys,KS Czarna Kula Poznań,318,159,10,477,,,,,,,,,,352,121,12,473,670,280,22,950,
15,Piwowarczyk Wiktor,KS Pilica Tomaszów Mazowiecki,363,152,11,515,,,,,,,,,,286,138,18,424,649,290,29,939,
16,Stachecki Daniel,KS Zatoka Puck,344,140,12,484,,,,,,,,,,349,104,24,453,693,244,36,937,
17,Dykier Dominik,KS Polonia 1912 Leszno,312,147,13,459,,,,,,,,,,318,144,12,462,630,291,25,921,
18,Kulesza Aleksander,MLKS Tucholanka Tuchola,328,136,15,464,,,,,,,,,,303,114,17,417,631,250,32,881,
19,Szczepski Mikołaj,KK Dziewiątka-Amica Wronki,338,120,14,458,,,,,,,,,,,,,,,,,,
20,Płóciniczak Filip,KS Polonia 1912 Leszno,335,120,28,455,,,,,,,,,,,,,,,,,,
21,Skalski Filip,KS Pilica Tomaszów Mazowiecki,343,111,16,454,,,,,,,,,,,,,,,,,,
22,Adamski Dawid,KS Pilica Tomaszów Mazowiecki,327,123,12,450,,,,,,,,,,,,,,,,,,
23,Rostanowski Patryk,MLKS Tucholanka Tuchola,322,127,13,449,,,,,,,,,,,,,,,,,,
24,Sowik Igor,KS Pilica Tomaszów Mazowiecki,343,106,17,449,,,,,,,,,,,,,,,,,,
25,Stachecki Konrad,KS Zatoka Puck,312,128,18,440,,,,,,,,,,,,,,,,,,
26,Byliński Marcin,OSIR Vector Tarnowo Podgórne,313,123,18,436,,,,,,,,,,,,,,,,,,
27,Nowicki Dominik,KK Dziewiątka-Amica Wronki,309,120,19,429,,,,,,,,,,,,,,,,,,
28,Dziamski Artur,OSIR Vector Tarnowo Podgórne,313,110,16,423,,,,,,,,,,,,,,,,,,
29,Szymański Maciej,KS Zatoka Puck,294,86,28,380,,,,,,,,,,,,,,,,,,
30,Anklam Wojciech,KK Dziewiątka-Amica Wronki,276,102,23,378,,,,,,,,,,,,,,,,,,
31,Muzolf Norbert,MLKS Tucholanka Tuchola,293,81,28,374,,,,,,,,,,,,,,,,,,
32,Kubiak Mikołaj,OSIR Vector Tarnowo Podgórne,271,96,23,367,,,,,,,,,,,,,,,,,,
33,Szweda Łukasz,MLKS Tucholanka Tuchola,274,84,27,358,,,,,,,,,,,,,,,,,,
34,Duda Bartłomiej,KS Alfa-Vector Tarnowo Podgórne,264,92,28,356,,,,,,,,,,,,,,,,,,
35,Dworczyk Patryk,OSIR Vector Tarnowo Podgórne,252,84,32,336,,,,,,,,,,,,,,,,,,
36,Ostrowski Krzysztof,UKS Jedynka Świebodzice,257,79,31,336,,,,,,,,,,,,,,,,,,
37,Filipiszyn Dawid,UKS Jedynka Świebodzice,181,61,47,242,,,,,,,,,,,,,,,,,,
