" Indywidualne Mistrzostwa Polski Młodziczek                                                                                                                                                      Leszno, 07 - 08.12.2013",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
M-ce,Nazwisko i Imię,Klub,ELIMINACJE,,,,Tor 1,,Tor 2,,Tor 3,,Tor 4,,,FINAŁ,,,,RAZEM,,,,
,,,P ,ZB,X,Razem,P,Z,P,Z,P,Z,P,Z,X,P ,ZB,X,Razem,P ,ZB,X,Razem,
1.,Paszyk Julia,KK Dziewiątka-Amica Wronki,346,125,17,471,80,34,85,35,80,35,89,34,11,362,137,13,499,708,262,30,970,8 pkt
2.,Szczepska Sandra,KK Dziewiątka-Amica Wronki,336,150,12,486,84,45,79,33,83,26,84,36,10,346,131,15,477,682,281,27,963,6 pkt
3.,Dudziak Nicoletta,KS Polonia 1912 Leszno,364,149,9,513,93,61,86,36,92,45,81,51,4,347,100,12,447,711,249,21,960,4 pkt
4.,Wojtaszek Angelika,KS Pilica Tomaszów Mazowiecki,320,154,8,474,90,33,83,34,82,26,92,25,8,340,129,21,469,660,283,29,943,3 pkt
5.,Pawłowska Joanna,KS Pilica Tomaszów Mazowiecki,320,147,9,467,92,32,82,54,71,43,77,25,10,336,138,17,474,656,285,26,941,2 pkt
6.,Sidło Julia,KS Pilica Tomaszów Mazowiecki,316,131,15,447,73,18,70,45,81,25,75,33,19,327,159,8,486,643,290,23,933,1 pkt
7.,Łochowicz Anna,KS Polonia 1912 Leszno,327,128,15,455,74,32,83,27,79,27,80,44,15,335,138,12,473,662,266,27,928,
8.,Jądrzyk Wiktoria,KK Dziewiątka-Amica Wronki,342,122,12,464,87,26,81,35,71,34,87,35,14,355,106,20,461,697,228,32,925,
9.,Remisz Martyna,KK Dziewiątka-Amica Wronki,307,154,13,461,79,18,73,44,88,50,78,23,14,335,109,16,444,642,263,29,905,
10.,Filipiec Julia,KK Dziewiątka-Amica Wronki,345,102,18,447,84,34,69,17,76,35,79,31,19,328,125,16,453,673,227,34,900,
11.,Szczerkowska Weronika,TPK Wejherowo,304,147,17,451,66,26,83,34,90,25,74,26,19,310,110,17,420,614,257,34,871,
12.,Rosa Klaudia,KS Start Gostyń,307,118,17,425,62,17,59,35,72,14,80,35,21,315,112,24,427,622,230,41,852,
13.,Przybysz Angelika,KK Dziewiątka-Amica Wronki,306,102,21,408,,,,,,,,,,,,,,,,,,
14.,Kędziora Weronika,KS Czarna Kula Poznan,285,111,23,396,,,,,,,,,,,,,,,,,,
15.,Rzepka Martyna,TPK Wejherowo,288,108,20,396,,,,,,,,,,,,,,,,,,
16,Mrowiec Sandra,KS OSiR Vector Tarnowo Podgórne,299,93,24,392,,,,,,,,,,,,,,,,,,
17,Ciszewska Angelika,KS Polonia 1912 Leszno,279,99,31,378,,,,,,,,,,,,,,,,,,
18,Ehrlich Karolina,TPK Wejherowo,273,88,28,361,,,,,,,,,,,,,,,,,,
19,Dziamska Jagoda,KS OSiR Vector Tarnowo Podgórne,248,81,34,329,,,,,,,,,,,,,,,,,,
20,Klahs Sandra,TPK Wejherowo,249,70,35,319,,,,,,,,,,,,,,,,,,
