" Indywidualne Mistrzostwa Polski Młodzików                                                                                                                                                       Leszno, 07 - 08.12.2013",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
M-ce,Nazwisko i Imię,Klub,ELIMINACJE,,,,Tor 1,,Tor 2,,Tor 3,,Tor 4,,,FINAŁ,,,,RAZEM,,,,
,,,P ,ZB,X,Razem,P,Z,P,Z,P,Z,P,Z,X,P ,ZB,X,Razem,P ,ZB,X,Razem,
1.,Goździk Mateusz,KS Pilica Tomaszów Mazowiecki,340,184,5,524,92,42,88,43,84,44,97,36,9,353,185,8,538,693,369,13,1062,8 pkt
2.,Lukaszewski Patryk,KS Start Gostyń,363,148,11,511,86,36,85,36,95,47,76,34,6,355,142,7,497,718,290,18,1008,6 pkt
3.,Cwojdziński Jakub,KS Alfa-Vector Tarnowo Podgórne,355,149,7,504,83,44,90,42,88,35,76,34,8,336,161,12,497,691,310,19,1001,4 pkt
4.,Bylinski Tomasz,KS OSiR Vector Tarnowo Podgórne,340,165,9,505,88,33,90,44,84,50,85,30,9,333,134,16,467,673,299,25,972,3 pkt
5.,Skorczyk Patryk,KS OSiR Vector Tarnowo Podgórne,346,158,11,504,92,35,90,43,84,44,80,42,7,344,120,21,464,690,278,32,968,2 pkt
6.,Kuta Mateusz,KS Pilica Tomaszów Mazowiecki,337,138,13,475,87,27,83,25,74,43,74,43,15,326,165,6,491,663,303,19,966,1 pkt
7.,Kasprzak Łukasz,KS OSiR Vector Tarnowo Podgórne,350,153,11,503,80,44,77,34,82,31,91,27,16,325,138,14,463,675,291,25,966,
8.,Sawala Mateusz,KK Dziewiątka Amica Wronki,347,156,12,503,74,39,96,35,91,45,87,32,9,332,130,12,462,679,286,24,965,
9.,Szkudlarek Filip,KS Start Gostyń,346,151,12,497,69,26,81,33,89,45,81,35,12,314,128,15,442,660,279,27,939,
10.,Piotrowski Wojciech,UKS Kormoran Sieraków,331,149,12,480,82,26,88,35,92,42,81,25,8,295,139,17,434,626,288,29,914,
11.,Dmowski Jędrzej,KS OSiR Vector Tarnowo Podgórne,331,117,19,448,78,34,71,35,88,35,74,26,11,316,148,10,464,647,265,29,912,
12.,Nowak Jędrzej,KS Start Gostyń,331,114,13,445,82,43,71,26,88,27,74,33,15,311,153,14,464,642,267,27,909,
13.,Gromadecki Mateusz,KS OSiR Vector Tarnowo Podgórne,322,137,12,459,93,27,78,35,70,26,91,34,15,321,126,15,447,643,263,27,906,
14.,Kosz Szymon,KS Pilica Tomaszów Mazowiecki,288,148,12,436,82,23,98,25,71,43,70,31,18,337,124,15,461,625,272,27,897,
15.,Bartkowiak Mateusz,KS OSiR Vector Tarnowo Podgórne,330,102,17,432,74,29,74,17,78,35,92,25,17,309,134,12,443,639,236,29,875,
16.,Dura Antoni,UKS Kormoran Sieraków,303,128,16,431,70,6,74,36,76,44,75,31,7,265,109,27,374,568,237,43,805,
17.,Fot Maciej,KK Dziewiątka Amica Wronki,310,117,16,427,68,28,72,27,78,17,73,36,19,,,,,,,,,
18.,Płóciniczak Filip,KS Polonia 1912 Leszno,311,115,27,426,71,34,66,30,66,36,64,35,13,,,,,,,,,
19.,Pytel Norbert,KS Pilica Tomaszów Mazowiecki,291,119,16,410,,,,,,,,,,,,,,,,,,
20.,Banaszak Michał,KS Start Gostyń,295,111,22,406,,,,,,,,,,,,,,,,,,
21.,Aleksandrzak Marcin,KS Czarna Kula Poznań,307,99,17,406,,,,,,,,,,,,,,,,,,
22.,Banaszak Szymon,KS Start Gostyń,287,112,25,399,,,,,,,,,,,,,,,,,,
23.,Borowski Szymon,UKS Kormoran Sieraków,284,111,21,395,,,,,,,,,,,,,,,,,,
24.,Radzi Mateusz,KK Dziewiątka Amica Wronki,302,87,18,389,,,,,,,,,,,,,,,,,,
25.,Duks Mateusz,KK Dziewiątka Amica Wronki,280,93,27,373,,,,,,,,,,,,,,,,,,
26.,Kubiak Ziemowit,KS Start Gostyń,302,69,38,371,,,,,,,,,,,,,,,,,,
27,Jóźwiak Jakub,UKS Kormoran Sieraków,230,67,42,297,,,,,,,,,,,,,,,,,,
