XVII TURNIEJ ŚWIĄTECZNY,,,,,,,,,,
Ogólnopolski turniej młodzieżowy,,,,,,,,,,
Tarnowo Podgórne • 27-29 grudnia 2016 r.,,,,,,,,,,
JUNIORKI MŁODSZE,,,,,,,,,,
UWAGA! W finale nie dolicza się wyniku z eliminacji. ,,,,,,,,,,
M,Imię i Nazwisko,Klub,P,Z,X,R,P,Z,X,R
1.,Nicoletta Dudziak,"KS ""Polonia 1912"" Leszno",357,174,4,531,352,182,2,534
2.,Anna Łochowicz,"KS ""Polonia 1912"" Leszno",364,178,2,542,352,167,7,519
3.,Wiktoria Jądrzyk,"KK ""Dziewiątka-Amica"" Wronki",352,174,3,526,340,157,5,497
4.,Angelika Ciszewska,"KS ""Polonia 1912"" Leszno",369,167,5,536,342,149,5,491
5.,Sandra Mrowiec,OSiR Vector Tarnowo Pod.,348,170,9,518,,,,
6.,Sandra Szczepska,"KK ""Dziewiątka-Amica"" Wronki",349,168,3,517,,,,
7.,Weronika Paszyk,"KK ""Wrzos"" Sieraków",312,124,21,436,,,,
8.,Jagoda Dziamska,OSiR Vector Tarnowo Pod.,334,94,24,428,,,,
9.,,,,,,0,,,,
10.,,,,,,0,,,,
11.,,,,,,0,,,,
12.,,,,,,0,,,,
13.,,,,,,0,,,,
14.,,,,,,0,,,,
15.,,,,,,0,,,,
16.,,,,,,0,,,,
17.,,,,,,0,,,,
18.,,,,,,0,,,,
19.,,,,,,0,,,,
20.,,,,,,0,,,,
21.,,,,,,0,,,,
22.,,,,,,0,,,,
23.,,,,,,0,,,,
24.,,,,,,0,,,,
25.,,,,,,0,,,,
