XVII TURNIEJ ŚWIĄTECZNY,,,,,,,,,,
Ogólnopolski turniej młodzieżowy,,,,,,,,,,
Tarnowo Podgórne • 27-29 grudnia 2016 r.,,,,,,,,,,
JUNIORZY MŁODSI,,,,,,,,,,
UWAGA! W finale nie dolicza się wyniku z eliminacji. ,,,,,,,,,,
M,Imię i Nazwisko,Klub,P,Z,X,R,P,Z,X,R
1.,Jakub Cwojdziński,OSiR Vector Tarnowo Pod.,373,178,3,551,353,214,1,567
2.,Patryk Lukaszewski,"KS ""Start"" Gostyń",356,167,2,523,366,189,3,555
3.,Mateusz Radzi,"KK ""Dziewiątka-Amica"" Wronki",382,184,4,566,376,164,2,540
4.,Gracjan Machaj,"KK ""Dziewiątka-Amica"" Wronki",360,162,3,522,340,196,2,536
5.,Maciej Fot,"KK ""Dziewiątka-Amica"" Wronki",363,146,8,509,351,183,4,534
6.,Jędrzej Nowak,"KS ""Start"" Gostyń",350,157,6,507,369,158,4,527
7.,Bartosz Ruszczyk,"KK ""Dziewiątka-Amica"" Wronki",346,173,5,519,346,175,4,521
8.,Łukasz Kasprzak,OSiR Vector Tarnowo Pod.,338,152,11,490,355,145,10,500
9.,Mateusz Sawala ,"KK ""Dziewiątka-Amica"" Wronki",371,176,4,547,336,161,5,497
10.,Patryk Mrowiec,OSiR Vector Tarnowo Pod.,335,159,6,494,319,169,7,488
11.,Tomasz Byliński,OSiR Vector Tarnowo Pod.,333,151,4,484,,,,
12.,Krystian Górniak,"KK ""Dziewiątka-Amica"" Wronki",339,138,13,477,,,,
13.,Mateusz Gromadecki,OSiR Vector Tarnowo Pod.,319,156,8,475,,,,
14.,Maciej Kaszkowiak,"KK ""Dziewiątka-Amica"" Wronki",323,145,12,468,,,,
15.,Wiktor Nowak,"KK ""Wrzos"" Sieraków",344,118,15,462,,,,
16.,Szymon Banaszak,"KS ""Start"" Gostyń",337,123,16,460,,,,
17.,Mikołaj Szczepski,"KK ""Dziewiątka-Amica"" Wronki",319,130,10,449,,,,
18.,Maciej Olczyk,"KK ""Dziewiątka-Amica"" Wronki",319,105,18,424,,,,
19.,,,,,,0,,,,
20.,,,,,,0,,,,
21.,,,,,,0,,,,
22.,,,,,,0,,,,
23.,,,,,,0,,,,
24.,,,,,,0,,,,
25.,,,,,,0,,,,
45.,,,,,,0,,,,
46.,,,,,,0,,,,
