XVII TURNIEJ ŚWIĄTECZNY,,,,,,,,,,
Ogólnopolski turniej młodzieżowy,,,,,,,,,,
Tarnowo Podgórne • 27-29 grudnia 2016 r.,,,,,,,,,,
MŁODZICZKI,,,,,,,,,,
UWAGA! W finale nie dolicza się wyniku z eliminacji. ,,,,,,,,,,
M,Imię i Nazwisko,Klub,P,Z,X,R,P,Z,X,R
1.,Marta Stachowiak,OSiR Vector Tarnowo Pod.,333,156,11,489,334,161,7,495
2.,Julia Konieczna,"KK ""Dziewiątka-Amica"" Wronki",337,141,17,478,336,158,10,494
3.,Weronika Roszak,"KK ""Dziewiątka-Amica"" Wronki",349,146,11,495,340,118,15,458
4.,Aleksandra Banaszak,"KS ""Start"" Gostyń",371,126,13,497,322,121,11,443
5.,Iwona Dziamska,OSiR Vector Tarnowo Pod.,327,141,15,468,,,,
6.,Emilia Konieczna,"KK ""Dziewiątka-Amica"" Wronki",317,119,15,436,,,,
7.,Sandra Ryś,OSiR Vector Tarnowo Pod.,302,125,19,427,,,,
8.,Aleksandra Fojud,"KK ""Dziewiątka-Amica"" Wronki",301,121,20,422,,,,
9.,,,,,,0,,,,
10.,,,,,,0,,,,
11.,,,,,,0,,,,
12.,,,,,,0,,,,
13.,,,,,,0,,,,
14.,,,,,,0,,,,
15.,,,,,,0,,,,
16.,,,,,,0,,,,
17.,,,,,,0,,,,
18.,,,,,,0,,,,
19.,,,,,,0,,,,
20.,,,,,,0,,,,
21.,,,,,,0,,,,
22.,,,,,,0,,,,
23.,,,,,,0,,,,
24.,,,,,,0,,,,
25.,,,,,,0,,,,
