XVII TURNIEJ ŚWIĄTECZNY,,,,,,,,,,
Ogólnopolski turniej młodzieżowy,,,,,,,,,,
Tarnowo Podgórne • 27-29 grudnia 2016 r.,,,,,,,,,,
MŁODZICY,,,,,,,,,,
UWAGA! W finale nie dolicza się wyniku z eliminacji. ,,,,,,,,,,
M,Imię i Nazwisko,Klub,P,Z,X,R,P,Z,X,R
1.,Tobiasz Wilk,"KK ""Dziewiątka-Amica"" Wronki",347,174,5,521,362,180,11,542
2.,Mateusz Kraczewski,"KS ""Polonia 1912"" Leszno",361,134,9,495,358,157,7,515
3.,Krzysztof Przewoźny,"KK ""Dziewiątka-Amica"" Wronki",351,147,8,498,352,149,10,501
4.,Marcin Fraś,"KK ""Dziewiątka-Amica"" Wronki",331,156,8,487,334,139,11,473
5.,Filip Łochowicz,"KS ""Polonia 1912"" Leszno",363,127,9,490,315,154,9,469
6.,Maciej Sawala,"KK ""Dziewiątka-Amica"" Wronki",357,134,18,491,342,123,17,465
7.,Daniel Izydorek,"KS ""Czarna Kula"" Poznań",319,161,12,480,312,148,10,460
8.,Kamil Kaczmarek,"KK ""Dziewiątka-Amica"" Wronki",354,121,15,475,316,132,15,448
9.,Wojciech Nowak ,"KS ""Start"" Gostyń",335,145,13,480,317,124,15,441
10.,Mateusz Grzywaczewski,"KK ""Dziewiątka-Amica"" Wronki",334,149,14,483,306,130,14,436
11.,Artur Dziamski,OSiR Vector Tarnowo Pod.,330,140,14,470,,,,
12.,Klaudiusz Bryćko,"KK ""Dziewiątka-Amica"" Wronki",315,149,12,464,,,,
13.,Borys Piasta,"KS ""Czarna Kula"" Poznań",329,127,15,456,,,,
14.,Wojciech Anklam,"KK ""Dziewiątka-Amica"" Wronki",318,129,16,447,,,,
15.,Kevin Prętki,"KK ""Dziewiątka-Amica"" Wronki",333,105,20,438,,,,
16.,Rafał Olejniczak,"KK ""Dziewiątka-Amica"" Wronki",319,115,8,434,,,,
17.,Marcin Byliński,OSiR Vector Tarnowo Pod.,310,121,21,431,,,,
18.,Patryk Dworczyk,OSiR Vector Tarnowo Pod.,318,111,19,429,,,,
19.,Filip Judek,"KK ""Dziewiątka-Amica"" Wronki",324,93,20,417,,,,
20.,Jakub Moliński,"KK ""Dziewiątka-Amica"" Wronki",302,109,25,411,,,,
21.,Mikołaj Kubiak,OSiR Vector Tarnowo Pod.,305,105,20,410,,,,
22.,Mateusz Ptak,"KS ""Start"" Gostyń",286,97,24,383,,,,
24.,,,,,,0,,,,
25.,,,,,,0,,,,
