" Indywidualne Mistrzostwa Polski Młodziczek                                                                                                                                                      Wronki, 06 - 07.12.2014",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MŁODZICZKI,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
M-ce,Nazwisko i Imię,Klub,ELIMINACJE,,,,Tor 1,,Tor 2,,Tor 3,,Tor 4,,,FINAŁ,,,,RAZEM,,,,
,,,P ,ZB,X,Razem,P,Z,P,Z,P,Z,P,Z,X,P ,ZB,X,Razem,P ,ZB,X,Razem,
1.,Szczepska Sandra,KK Dziewiątka-Amica Wronki,351,141,7,492,,,,,,,,,,371,187,7,558,722,328,14,1050,8 pkt
2.,Jądrzyk Wiktoria,KK Dziewiątka-Amica Wronki,346,203,4,549,,,,,,,,,,355,145,9,500,701,348,13,1049,6 pkt
3.,Dudziak Nicoletta,KS Polonia 1912 Leszno,352,152,5,504,,,,,,,,,,361,170,7,531,713,322,12,1035,4 pkt
4.,Przybysz Angelika,KK Dziewiątka-Amica Wronki,341,161,8,502,,,,,,,,,,346,177,4,523,687,338,12,1025,3 pkt
5.,Filipiec Julia,KK Dziewiątka-Amica Wronki,346,149,8,495,,,,,,,,,,349,148,9,497,695,297,17,992,2 pkt
6.,Sarbak Karolina,KK Dziewiątka-Amica Wronki,350,156,13,506,,,,,,,,,,350,120,16,470,700,276,29,976,1 pkt
7.,Ciszewska Angelika,KS Polonia 1912 Leszno,325,166,10,491,,,,,,,,,,356,126,17,482,681,292,27,973,
8.,Łochowicz Anna,KS Polonia 1912 Leszno,332,145,4,477,,,,,,,,,,326,128,14,454,658,273,18,931,
9.,Roszak Weronika Małgorzata,KK Dziewiątka-Amica Wronki,313,145,16,458,,,,,,,,,,,,,,,,,,
10.,Michalska Alicja,KK Dziewiątka-Amica Wronki,318,124,17,442,,,,,,,,,,,,,,,,,,
11.,Mrowiec Sandra,OSiR Vector Tarnowo Podgórne,317,120,16,437,,,,,,,,,,,,,,,,,,
12.,Roszak Weronika,KK Dziewiątka-Amica Wronki,295,114,20,409,,,,,,,,,,,,,,,,,,
13.,Krefft Agnieszka,TPK Wejherowo,310,93,28,403,,,,,,,,,,,,,,,,,,
14.,Księżyk Klaudia,TPK Wejherowo,309,92,21,401,,,,,,,,,,,,,,,,,,
15.,Czepczor Dagmara,KK Dziewiątka-Amica Wronki,267,115,13,382,,,,,,,,,,,,,,,,,,
16,Szczerkowska Weronika,TPK Wejherowo,255,110,18,365,,,,,,,,,,,,,,,,,,
