" Indywidualne Mistrzostwa Polski Młodzików                                                                                                                                                       Wronki, 06 - 07.12.2014",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MŁODZICY,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
M-ce,Nazwisko i Imię,Klub,ELIMINACJE,,,,Tor 1,,Tor 2,,Tor 3,,Tor 4,,,FINAŁ,,,,RAZEM,,,,
,,,P ,ZB,X,Razem,P,Z,P,Z,P,Z,P,Z,X,P ,ZB,X,Razem,P ,ZB,X,Razem,
1.,Cwojdziński Jakub,KS Alfa-Vector Tarnowo Podgórne,336,174,5,510,,,,,,,,,,361,185,5,546,697,359,10,1056,8 pkt
2.,Kląskała Jakub,KK Dziewiątka-Amica Wronki,350,164,8,514,,,,,,,,,,347,164,9,511,697,328,17,1025,6 pkt
3.,Olczyk Maciej,KK Dziewiątka-Amica Wronki,357,163,7,520,,,,,,,,,,340,149,5,489,697,312,12,1009,4 pkt
4.,Byliński Tomasz,OSiR Vector Tarnowo Podgórne,369,166,6,535,,,,,,,,,,316,155,6,471,685,321,12,1006,3 pkt
5.,Gołębiewski Jerzy,KS Zatoka Puck,341,146,8,487,,,,,,,,,,347,171,6,518,688,317,14,1005,2 pkt
6.,Szczepski Mikołaj,KK Dziewiątka-Amica Wronki,341,156,9,497,,,,,,,,,,359,134,10,493,700,290,19,990,1 pkt
7.,Kosz Szymon,KS Pilica Tomaszów Mazowiecki,337,144,7,481,,,,,,,,,,342,157,7,499,679,301,14,980,
8.,Cypel Hubert,KK Dziewiątka-Amica Wronki,340,143,8,483,,,,,,,,,,348,145,10,493,688,288,18,976,
9.,Kaszkowiak Maciej,KK Dziewiątka-Amica Wronki,332,177,4,509,,,,,,,,,,328,119,10,447,660,296,14,956,
10.,Płóciniczak Filip,KS Polonia 1912 Leszno,327,144,10,471,,,,,,,,,,318,134,17,452,645,278,27,923,
11.,Grzywaczewski Mateusz,KK Dziewiątka-Amica Wronki,335,134,19,469,,,,,,,,,,316,119,15,435,651,253,34,904,
12.,Górniak Krystian,KK Dziewiątka-Amica Wronki,354,159,10,513,,,,,,,,,,,,,0,354,159,10,513,
13.,Białkowski Wojciech,KS Pilica Tomaszów Mazowiecki,344,115,18,459,,,,,,,,,,,,,,,,,,
14.,Klemenski Jan,KK Dziewiątka-Amica Wronki,341,117,12,458,,,,,,,,,,,,,,,,,,
15.,Kube Karol,KS Polonia 1912 Leszno,342,116,16,458,,,,,,,,,,,,,,,,,,
16.,Nowicki Dominik,KK Dziewiątka-Amica Wronki,326,128,16,454,,,,,,,,,,,,,,,,,,
17.,Bartkowiak Mateusz,OSiR Vector Tarnowo Podgórne,337,117,18,454,,,,,,,,,,,,,,,,,,
18.,Dmowski Jędrzej,OSiR Vector Tarnowo Podgórne,326,121,11,447,,,,,,,,,,,,,,,,,,
19.,Piwowarczyk Wiktor,KS Pilica Tomaszów Mazowiecki,316,126,16,442,,,,,,,,,,,,,,,,,,
20.,Borowski Miłosz,KS Pilica Tomaszów Mazowiecki,317,114,21,431,,,,,,,,,,,,,,,,,,
21.,Skalski Filip,KS Pilica Tomaszów Mazowiecki,327,104,15,431,,,,,,,,,,,,,,,,,,
22.,Cyniak Dominik,KS Pilica Tomaszów Mazowiecki,298,129,17,427,,,,,,,,,,,,,,,,,,
23.,Kubiak Remigiusz,KK Dziewiątka-Amica Wronki,303,119,19,422,,,,,,,,,,,,,,,,,,
24.,Gołdys Gracjan,KS Pilica Tomaszów Mazowiecki,323,96,22,419,,,,,,,,,,,,,,,,,,
