Link do arkuszu,Nazwa,Kregielnia,Sezon,Id,Miesiąc
https://docs.google.com/spreadsheets/d/1GYzXeRhfUv42J8tlAvpPpP9kQ0CRutVWUiwA7IwGgtI/edit#gid=21567967,Puchar Borów Tucholskich,Tuchola,2015/16,0,10
https://docs.google.com/spreadsheets/d/1T3yqhvnX-D1VjBygwJitd7DrsSewDKk4vgAwiI81q8U/edit,MP Młodzików,Tuchola,2016/17,1,11
https://docs.google.com/spreadsheets/d/1xe_Jv8lvtb-iXtFrpXAvk25CTPzVNq3XJou88FIw-pk/edit?usp=sheets_home,MP Juniorów Młodszych,Tomaszów Mazowiecki,2016/17,2,4
https://docs.google.com/spreadsheets/d/1hfSQYAmfzTrdpIN5dNzawyM-hJZPmp9YavqpajvBJiA/edit#gid=0,Puchar Wronek,Wronki,2016/17,3,3
https://docs.google.com/spreadsheets/d/16-W5eGKJHxp7knU_nreRD_AYZPaem0i8Dn1iZKBCKz0/edit#gid=0,Memoriał,Leszno,2016/17,4,4
https://docs.google.com/spreadsheets/d/1g5FvYwPIyy1h5_hetHUrDg4d1oo80-TXAT8vX2Q7FT4/edit#gid=1,MP Młodzików,Leszno,2015/16,5,12
https://docs.google.com/spreadsheets/d/16ai7eo_42hEdj5zHhpvM2FFGCGYarryefwMSoKkwOe0/edit,MP Młodzików,Leszno,2013/14,6,12
https://docs.google.com/spreadsheets/d/1dYM_1N6rd1bifAavm7sg8kPtwgCQoLETCt2xZcUgN44/edit,Turniej Świąteczny,Tarnowo Podgórne,2016/17,7,12
https://docs.google.com/spreadsheets/d/1Vq7dFZN47_XAhkdlinL2igfKKWcZAEgS7lvfsB7A-Sg/edit,MP Młodzików,Wronki,2014/15,8,12
https://docs.google.com/spreadsheets/d/1TEE7xWijzLjpBgn3riuyxVTKQjWJ3YNV2PDotkO1qDI/edit,Turniej Świąteczny,Wronki,2014/15,9,12
https://docs.google.com/spreadsheets/d/1Aug-GjYfgpPSM2ioQuWpbgef2XaqWkIqoZTZhQMdpyk/edit#gid=0,Memoriał,Leszno,2014/15,10,4
https://docs.google.com/spreadsheets/d/13q0mXjFLLju2VAbNolPPtCJrhDW934tUoEOSLumUPuQ/edit,Puchar Wronek,Wronki,2012/13,11,4
https://docs.google.com/spreadsheets/d/178mEHcoNxKY5n1-WJdwVix08yjMQXgNSwBI2uVmnt4s/edit,Memoriał,Leszno,2013/14,12,3
https://docs.google.com/spreadsheets/d/1vdjMfgLq4hpM2GVe6P3yrA8HXqN_Q39cT-g1PgFzc68/edit,Memoriał,Gostyń,2015/16,13,11
https://docs.google.com/spreadsheets/d/1ntzn5f4_gfslu-FPcBOyWJK39Y46lus3aQDj4WOjyOA/edit,Memoriał,Leszno,2015/16,14,4
https://docs.google.com/spreadsheets/d/178m6M55M3XFnWqMoECPj_-X852ObXQNYtiaK26rHOP8/edit,Turniej Świąteczny,Wronki,2015/16,15,12
https://docs.google.com/spreadsheets/d/11PlLNJHw6KGjnrd2YLp7WIEejYaV1fmVemwCmhapSQM/edit,MP Juniorów Młodszych,Gostyń,2015/16,16,4
https://docs.google.com/spreadsheets/d/19Q6_LJ1vTae9wAJcVT1siRoyfDqLDzb9n845JrMHKyA/edit,Memoriał,Gostyń,2014/15,17,11
https://docs.google.com/spreadsheets/d/1Td1sfYgczMfzEfXeOz2sMlFXvNNCznqgX3M4jcA1EWk/edit,MMM,Tarnowo Podgórne,2015/16,18,4
https://docs.google.com/spreadsheets/d/1kZIunkcXVNmyIrN9NaGGuV8e2R_9bQb584yXzhRn69U/edit,Memoriał,Gostyń,2016/17,19,11
https://docs.google.com/spreadsheets/d/1834gROIPYs5UcthZERQSqbCAItPJSYGdSGWyDD6Bb48/edit,Turniej Świąteczny,Gostyń,2013/14,20,12
https://docs.google.com/spreadsheets/d/1frXS9xUrOMp1TG5vrLaD3MIejTr3-x8ACkzeteRROSk/edit,Puchar Wronek,Wronki,2015/16,21,3
https://docs.google.com/spreadsheets/d/1ckt-7KzCVIRsElL-sAbj2q1RYB78944Tn39YvXG7zNw/edit,Puchar Wronek,Wronki,2013/14,22,2
https://docs.google.com/spreadsheets/d/1bxhnwKj871qzA2-adn1qsqqzctaRGiGMQWHke3iGu9c/edit,Puchar Wronek,Wronki,2014/15,23,3
https://docs.google.com/spreadsheets/d/1ptwRbIZ5bR2Obg08iABtUiBc3QGJcPFAjnBqWlpqgGw/edit,Puchar Starosty,Sieraków,2016/17,24,4
