"XXII Memoriał im. St. Krzymińskiego i B. Nowackiego • Leszno, 09-12.04.2015 r.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MŁODZICY,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,Suma,,,,
M.,Nazwisko,Imię,Klub,P,Z,X,R,P,Z,X,R,P,Z,X,R,PKT
1.,Cwojdziński,Jakub,KS Alfa-Vector Tarnowo Podgórne,368,179,1,547,360,148,7,508,728,327,8,1055,6
2.,Fot,Maciej,KK Dziewiątka-Amica Wronki,361,160,8,521,337,192,5,529,698,352,13,1050,5
3.,Dmowski,Jędrzej,OSiR-VectorTarnowo Podgórne,363,181,9,544,356,149,12,505,719,330,21,1049,4
4.,Gołębiewski,Jerzy,Zatoka Puck,339,160,7,499,337,153,10,490,676,313,17,989,3
5.,Byliński,Tomasz,OSiR-Vector Tarnowo Podgórne,346,145,4,491,350,128,13,478,696,273,17,969,2
6.,Kląskała,Jakub,KK Dziewiątka-Amica Wronki,337,146,18,483,338,138,16,476,675,284,34,959,1
7.,Cypel,Hubert,KK Dziewiątka-Amica Wronki,331,130,14,461,,,,,,,,,
8.,Płóciniczak,Filip,KS Polonia 1912 Leszno,318,140,19,458,,,,,,,,,
9.,Bartowiak,Mateusz,OSiR Tarnowo Podgórne,324,127,17,451,,,,,,,,,
10.,Klemeński ,Jan,KK Dziewiątka-Amica Wronki,319,121,15,440,,,,,,,,,
11.,Bacza,Łukasz,KS Polonia Łaziska Górne,307,128,21,435,,,,,,,,,
12.,Kube,Karol,KS Polonia 1912 Leszno,321,104,24,425,,,,,,,,,
13.,Górniak,Krystian,KK Dziewiątka-Amica Wronki,312,100,19,412,,,,,,,,,
14.,Banaszak,Szymon,KS Start Gostyń,272,126,15,398,,,,,,,,,
15.,Olczyk ,Maciej,KK Dziewiątka-Amica Wronki,251,64,9,315,,,,,,,,,
16.,Lisowski,Robert,KS Polonia Łaziska Górne,214,80,26,294,,,,,,,,,
