"XXII Memoriał im. St. Krzymińskiego i B. Nowackiego • Leszno, 09-12.04.2015 r.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
JUNIORKI MŁODSZE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,Suma,,,,
M.,Nazwisko,Imię,Klub,P,Z,X,R,P,Z,X,R,P,Z,X,R,PKT
1.,Włodarczyk,Natalia,KS Polonia 1912 Leszno,370,199,5,569,357,222,3,579,727,421,8,1148,6
2.,Kurcok,Małgorzata,KS Polonia Łaziska Górne,330,210,1,540,367,205,2,572,697,415,3,1112,5
3.,Grzelak,Patrycja,KK Dziewiątka-Amica Wronki,367,172,4,539,366,195,6,561,733,367,10,1100,4
4.,Kwapisz,Dorota,KS Polonia 1912 Leszno,387,185,6,572,328,161,6,489,715,346,12,1061,3
5.,Grocholska ,Julia,KK Dziewiątka-Amica Wronki,338,180,7,518,353,159,8,512,691,339,15,1030,2
6.,Bonk,Aleksandra,KS Alfa-Vector Tarnowo Podgórne,363,163,4,526,343,160,7,503,706,323,11,1029,1
7.,Brodziszewska,Julia,KK Dziewiątka-Amica Wronki,346,182,3,528,338,149,7,487,684,331,10,1015,
8.,Gołębiewska,Marta,Zatoka Puck,366,150,10,516,,,,,,,,,
9.,Mroczkiewicz,Katarzyna,KK Dziewiątka-Amica Wronki,352,150,4,502,,,,,,,,,
10.,Wojtaszek,Angelika,Pilica Tomaszów Mazowiecki,331,168,7,499,,,,,,,,,
11.,Stępczak,Jolanta,KS Polonia 1912 Leszno,343,155,9,498,,,,,,,,,
12.,Ciałoń,Katarzyna,KS Polonia Łaziska Górne,345,151,12,496,,,,,,,,,
13.,Pawłowska,Joanna,Pilica Tomaszów Mazowiecki,345,142,10,487,,,,,,,,,
14.,Sidło,Julia,Pilica Tomaszów Mazowiecki,332,152,8,484,,,,,,,,,
15.,Zalewska,Marta,Tucholanka Tuchola,308,175,8,483,,,PATRONAT MEDIALNY,,,,,,
16.,Remisz,Weronika,KK Dziewiątka-Amica Wronki,366,115,15,481,,,,,,,,,
17.,Szponar,Anita,OSiR-Vector Tarnowo Podgórne,338,142,13,480,,,,,,,,,
18.,Dziamska,Jagoda,OSiR-Vector Tarnowo Podgórne,305,169,7,474,,,,,,,,,
19.,Pietrowska,Karolina,Tucholanka Tuchola,340,129,11,469,,,,,,,,,
20.,Klunder,Daria,Tucholanka Tuchola,347,121,17,468,,,,,,,,,
21.,Wawrzyniak ,Oliwia,KS Start Gostyń,335,132,10,467,,,,,,,,,
22.,Działek,Julia,"UKS ""Jedynka"" Świebodzice",328,138,18,466,,,,,,,,,
23.,Remisz,Martyna,KK Dziewiątka-Amica Wronki,323,138,9,461,,,,,,,,,
24.,Kędziora,Weronika,KS Czarna Kula Poznań,319,131,16,450,,,,,,,,,
25.,Paszyk,Julia,KK Dziewiątka-Amica Wronki,306,140,6,446,,,,,,,,,
26.,Wróbel,Agata,"UKS ""Jedynka"" Świebodzice",300,145,16,445,,,,,,,,,
27.,Torka ,Weronika,KS Alfa-Vector Tarnowo Podgórne,331,103,19,434,,,,,,,,,
28.,Działek,Natalia,"UKS ""Jedynka"" Świebodzice",291,133,15,424,,,,,,,,,
29,Wieczorek,Nicole,"UKS ""Jedynka"" Świebodzice",306,117,19,423,,,,,,,,,
30,Szwarc,Karolina,"UKS ""Jedynka"" Świebodzice",281,90,25,371,,,,,,,,,
31,Wiśniewska,Klaudia,KS Czarna Kula Poznań,245,118,16,363,,,,,,,,,
32,Dziura,Magdalena,"UKS ""Jedynka"" Świebodzice",230,87,31,317,,,,,,,,,
33,Skroczek,Daria,"UKS ""Jedynka"" Świebodzice",173,96,50,269,,,,,,,,,
