"XXIII Memoriał St. Krzymińskiego i B. Nowackiego • Leszno, 07-10.04.2016",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
JUNIORZY MŁODSI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,Suma,,,,
M.,Nazwisko,Imię,Klub,P,Z,X,R,P,Z,X,R,P,Z,X,R,PKT
1.,Machaj,Gracjan,KK Dziewiątka-Amica Wronki,382,201,7,583,359,204,4,563,741,405,11,1146,6
2.,Klecha,Mateusz,KS Polonia 1912 Leszno,368,185,4,553,388,170,0,558,756,355,4,1111,5
3.,Kląskała,Mateusz,KK Dziewiątka-Amica Wronki,376,174,6,550,383,171,3,554,759,345,9,1104,4
4.,Szydłowski,Igor,BOSiR Brzesko,373,190,2,563,374,156,2,530,747,346,4,1093,3
5.,Sawala,Mateusz,KK Dziewiątka-Amica Wronki,375,177,3,552,376,159,4,535,751,336,7,1087,2
6.,Lukaszewski,Patryk,KS Start Gostyń,365,193,6,558,374,153,2,527,739,346,8,1085,1
7.,Kasprzak,Łukasz,KS OSiR Vector Tarnowo Podgórne,365,185,8,550,360,159,6,519,725,344,14,1069,
8.,Łazowski,Łukasz,BOSiR Brzesko,369,175,6,544,349,154,6,503,718,329,12,1047,
9.,Nowak,Jędrzej,KS Start Gostyń,355,188,6,543,,,,,,,,,
10.,Radzi,Mateusz,KK Dziewiątka-Amica Wronki,367,171,4,538,,,,,,,,,
11.,Ruszczyk,Bartosz,KK Dziewiątka-Amica Wronki,347,189,5,536,,,,,,,,,
12.,Dmowski,Jędrzej,KS OSiR Vector Tarnowo Podgórne,365,170,8,535,,,,,,,,,
13.,Łuczak,Dawid,MLKS Tucholanka Tuchola,360,168,3,528,,,,,,,,,
14.,Tomczyk,Jakub,BOSiR Brzesko,365,162,3,527,,,,,,,,,
15.,Tomaszewski,Michał,KS Polonia 1912 Leszno,358,167,8,525,,,,,,,,,
16.,Michalak,Kacper,KS Start Gostyń,350,175,4,525,,,,,,,,,
17.,Bacza,Krzystof,KS Polonia Łaziska Górne,340,182,9,522,,,,,,,,,
18.,Byliński,Tomasz,KS OSiR Vector Tarnowo Podgórne,365,155,8,520,,PATRONAT MEDIALNY,,,,,,,
19.,Palacz,Kamil,KK Dziewiątka-Amica Wronki,351,168,3,519,,,,,,,,,
20.,Michalak,Jędrzej,KS Start Gostyń,355,158,4,513,,,,,,,,,
21.,Nowacki,Aleksander,MLKS Tucholanka Tuchola,354,159,6,513,,,,,,,,,
22.,Pośladek,Bartosz,Sokół Brzesko,347,165,7,512,,,,,,,,,
23.,Mrowiec ,Patryk,KS OSiR Vector Tarnowo Podgórne,336,174,5,510,,,,,,,,,
24.,Matecki,Jakub,KS Polonia 1912 Leszno,331,168,10,499,,,,,,,,,
25.,Czernecki,Damian,Sokół Brzesko,353,142,6,495,,,,,,,,,
26.,Kaszkowiak,Maciej,KK Dziewiątka-Amica Wronki,329,149,10,478,,,,,,,,,
27.,Kaliski,Szymon,KS Polonia 1912 Leszno,319,155,8,474,,,,,,,,,
28.,Milaszewski,Tomasz,KS Polonia 1912 Leszno,321,145,11,466,,,,,,,,,
29.,Banaszak,Szymon,KS Start Gostyń,320,141,21,461,,,,,,,,,
