"XXI Memoriał im. St. Krzymińskiego i B. Nowackiego • Leszno, 27 - 30.03.2014 r.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
JUNIORZY MŁODSI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Eliminacje,,,,Finał,,,,Suma,,,,
M.,Nazwisko,Imię,Klub,P,Z,X,R,P,Z,X,R,P,Z,X,R,PKT
1.,Osiński,Paweł,KS Pilica Tomaszów Maz.,370,171,4,541,382,233,0,615,752,404,4,1156,6
2.,Gierszewski,Marek,MLKS Tucholanka Tuchola,351,200,2,551,374,204,5,578,725,404,7,1129,5
3.,Machaj,Gracjan,KK Dziewiątka-Amica Wronki,383,172,4,555,348,202,3,550,731,374,7,1105,4
4.,Polak,Jakub,KS Pilica Tomaszów Maz.,390,178,10,568,345,186,7,531,735,364,17,1099,3
5.,Michalak,Jędrzej,KS Start Gostyń,375,193,3,568,362,160,4,522,737,353,7,1090,2
6.,Klecha,Mateusz,KS Polonia 1912 Leszno,359,182,2,541,370,173,3,543,729,355,5,1084,1
7.,Rybiński,Alan,KS Polonia 1912 Leszno,368,178,6,546,363,169,7,532,731,347,13,1078,
8.,Nowacki ,Aleksander,MLKS Tucholanka Tuchola,379,183,4,562,358,153,6,511,737,336,10,1073,
9.,Błaszczyk,Mateusz,KS Polonia Łaziska Górne,352,192,7,544,329,179,7,508,681,371,14,1052,
10.,Paryło ,Patryk,TKKF Sokół Brzesko,377,161,7,538,0,0,0,0,377,161,7,538,
11.,Michalak,Kacper,KS Start Gostyń,368,164,10,532,,,,,,,,,
12.,Dokowicz,Arkadiusz,KS Czarna Kula Poznań,356,172,12,528,,,,,,,,,
13.,Kupiec,Dawid,UKS Kormoran Sieraków,356,170,6,526,,,,,,,,,
14.,Zagata,Adrian,KS Start Gostyń,370,154,3,524,,,,,,,,,
15.,Kląskała,Mateusz,KK Dziewiątka-Amica Wronki,335,186,5,521,,,,,,,,,
16.,Sellmann,Karol,KS Start Gostyń,358,162,2,520,,,,,,,,,
17.,Nowak ,Dawid,KS Czarna Kula Poznań,356,163,9,519,,,,,,,,,
18.,Szydłowski,Igor,TKKF Sokół Brzesko,385,130,5,515,,PATRONAT MEDIALNY,,,,,,,
19.,Kozłowski,Maciej,OSIR Vector Tarnowo Podgóne,347,166,8,513,,,,,,,,,
20.,Kłosowski,Piotr,MLKS Tucholanka Tuchola,355,158,9,513,,,,,,,,,
21.,Świniarski ,Radosław,KK Dziewiątka-Amica Wronki,365,147,11,512,,,,,,,,,
22.,Tomczyk,Jakub,TKKF Sokół Brzesko,366,146,8,512,,,,,,,,,
23.,Palacz,Kamil,KK Dziewiątka-Amica Wronki,343,165,7,508,,,,,,,,,
24.,Kaliski,Szymon,KS Polonia 1912 Leszno,345,160,6,505,,,,,,,,,
25.,Ruszczyk,Bartosz,KK Dziewiątka-Amica Wronki,345,159,7,504,,,,,,,,,
26.,Jagodzik,Tobiasz,KS Polonia 1912 Leszno,375,129,5,504,,,,,,,,,
27.,Cwojdziński ,Tomasz,KS Alfa-Vector Tarnowo Podgórne,338,165,9,503,,,,,,,,,
28.,Sobkowiak,Kacper,KS Polonia 1912 Leszno,335,167,8,502,,,,,,,,,
29.,Ratajczak,Tymoteusz,KK Dziewiątka-Amica Wronki,331,169,4,500,,,,,,,,,
30.,Wasilewski,Szymon,TKKF Platan Pleszew,333,164,6,497,,,,,,,,,
31.,Janicki ,Patryk,KK Dziewiątka-Amica Wronki,324,170,8,494,,,,,,,,,
32.,Szydel,Daniel,TKKF Sokół Brzesko,333,158,11,491,,,,,,,,,
33.,Nowak ,Patryk,KS Czarna Kula Poznań,368,123,12,491,,,,,,,,,
34.,Ratajczyk ,Marcin,KS Start Gostyń,347,140,14,487,,,,,,,,,
35.,Bacza,Krzysztof,KS Polonia Łaziska Górne,337,145,7,482,,,,,,,,,
36.,Kołodziej,Łukasz,UKS Kormoran Sieraków,350,129,9,479,,,,,,,,,
37.,Zagata,Krzysztof,SGLK Gostyń,327,143,10,470,,,,,,,,,
38.,Mrowiec ,Patryk,OSIR Vector Tarnowo Podgóne,328,137,8,465,,,,,,,,,
39.,Kosowicz,Mikołaj, KS Start Gostyń,338,122,12,460,,,,,,,,,
40.,Adamczak,Kacper,UKS Kormoran Sieraków,329,130,16,459,,,,,,,,,
41.,Wawoczny ,Patryk,KS Polonia Łaziska Górne,303,146,5,449,,,,,,,,,
42.,Mazur,Wiktor,OSIR Vector Tarnowo Podgóne,318,128,17,446,,,,,,,,,
43.,Łuczak,Dawid,MLKS Tucholanka Tuchola,314,131,12,445,,,,,,,,,
44.,Klimek,Szymon,KS Pilica Tomaszów Maz.,310,133,20,443,,,,,,,,,
45.,Macioł,Paweł,KS Polonia Łaziska Górne,315,128,10,443,,,,,,,,,
46.,Tomaszewski,Michał,KS Polonia 1912 Leszno,323,109,13,432,,,,,,,,,
47.,Henschel,Gracjan,KS Czarna Kula Poznań,272,137,16,409,,,,,,,,,
48.,Gierwatowski,Kasjan,"UKS ""1"" Świebodzice",304,105,19,409,,,,,,,,,
